id,entity,amount,currency,payment_id,created_at,created_date,receipt,status,speed_requested,speed_processed,acquirer_utr,anomaly_type,duplicate_of_refund_id
rfnd_2024_H2_001,refund,1480000,INR,pay_2024_H2_00005,1734170400,2024-12-14,rcpt_2024_H2_rf_001,processed,normal,normal,UTR_2024_H2_RF_001,,
rfnd_2024_H2_002,refund,1480000,INR,pay_2024_H2_00005,1734357600,2024-12-16,rcpt_2024_H2_rf_002,processed,normal,normal,UTR_2024_H2_RF_002,duplicate_refund,rfnd_2024_H2_001
rfnd_2024_H2_003,refund,216800,INR,pay_2024_H2_09530,1730076215,2024-10-28,rcpt_2024_H2_rf_003,processed,normal,normal,UTR_2024_H2_RF_003,,
rfnd_2024_H2_004,refund,32900,INR,pay_2024_H2_17018,1735356466,2024-12-28,rcpt_2024_H2_rf_004,processed,normal,normal,UTR_2024_H2_RF_004,,
rfnd_2024_H2_005,refund,6959500,INR,pay_2024_H2_16586,1735689635,2025-01-01,rcpt_2024_H2_rf_005,processed,normal,normal,UTR_2024_H2_RF_005,,
rfnd_2024_H2_006,refund,861900,INR,pay_2024_H2_06288,1725960437,2024-09-10,rcpt_2024_H2_rf_006,processed,normal,normal,UTR_2024_H2_RF_006,,
rfnd_2024_H2_007,refund,285800,INR,pay_2024_H2_03391,1723044503,2024-08-07,rcpt_2024_H2_rf_007,processed,normal,normal,UTR_2024_H2_RF_007,,
rfnd_2024_H2_008,refund,601500,INR,pay_2024_H2_09762,1728823146,2024-10-13,rcpt_2024_H2_rf_008,processed,normal,normal,UTR_2024_H2_RF_008,,
rfnd_2024_H2_009,refund,781700,INR,pay_2024_H2_02859,1724857388,2024-08-28,rcpt_2024_H2_rf_009,processed,normal,normal,UTR_2024_H2_RF_009,,
rfnd_2024_H2_010,refund,1528100,INR,pay_2024_H2_05922,1727606903,2024-09-29,rcpt_2024_H2_rf_010,processed,normal,normal,UTR_2024_H2_RF_010,,
rfnd_2024_H2_011,refund,4038300,INR,pay_2024_H2_12777,1731567217,2024-11-14,rcpt_2024_H2_rf_011,processed,normal,normal,UTR_2024_H2_RF_011,,
rfnd_2024_H2_012,refund,2407800,INR,pay_2024_H2_04519,1727761861,2024-10-01,rcpt_2024_H2_rf_012,processed,normal,normal,UTR_2024_H2_RF_012,,
rfnd_2024_H2_013,refund,551500,INR,pay_2024_H2_15507,1734141250,2024-12-14,rcpt_2024_H2_rf_013,processed,normal,normal,UTR_2024_H2_RF_013,,
rfnd_2024_H2_014,refund,217500,INR,pay_2024_H2_04010,1723776047,2024-08-16,rcpt_2024_H2_rf_014,processed,normal,normal,UTR_2024_H2_RF_014,,
rfnd_2024_H2_015,refund,7188400,INR,pay_2024_H2_12310,1732688638,2024-11-27,rcpt_2024_H2_rf_015,processed,normal,normal,UTR_2024_H2_RF_015,,
rfnd_2024_H2_016,refund,182800,INR,pay_2024_H2_02991,1724428168,2024-08-23,rcpt_2024_H2_rf_016,processed,normal,normal,UTR_2024_H2_RF_016,,
