id,entity,amount,currency,payment_id,created_at,created_date,receipt,status,speed_requested,speed_processed,acquirer_utr,anomaly_type,duplicate_of_refund_id
rfnd_2026_H2_001,refund,2280000,INR,pay_2026_H2_00005,1797242400,2026-12-14,rcpt_2026_H2_rf_001,processed,normal,normal,UTR_2026_H2_RF_001,,
rfnd_2026_H2_002,refund,2280000,INR,pay_2026_H2_00005,1797429600,2026-12-16,rcpt_2026_H2_rf_002,processed,normal,normal,UTR_2026_H2_RF_002,duplicate_refund,rfnd_2026_H2_001
rfnd_2026_H2_003,refund,184700,INR,pay_2026_H2_05739,1788523444,2026-09-04,rcpt_2026_H2_rf_003,processed,normal,normal,UTR_2026_H2_RF_003,,
rfnd_2026_H2_004,refund,296000,INR,pay_2026_H2_06079,1791239054,2026-10-05,rcpt_2026_H2_rf_004,processed,normal,normal,UTR_2026_H2_RF_004,,
rfnd_2026_H2_005,refund,1288200,INR,pay_2026_H2_12598,1792471117,2026-10-20,rcpt_2026_H2_rf_005,processed,normal,normal,UTR_2026_H2_RF_005,,
rfnd_2026_H2_006,refund,337300,INR,pay_2026_H2_11952,1791911970,2026-10-13,rcpt_2026_H2_rf_006,processed,normal,normal,UTR_2026_H2_RF_006,,
rfnd_2026_H2_007,refund,2217000,INR,pay_2026_H2_21340,1799186424,2027-01-05,rcpt_2026_H2_rf_007,processed,normal,normal,UTR_2026_H2_RF_007,,
rfnd_2026_H2_008,refund,2819300,INR,pay_2026_H2_19137,1795348921,2026-11-22,rcpt_2026_H2_rf_008,processed,normal,normal,UTR_2026_H2_RF_008,,
rfnd_2026_H2_009,refund,3766900,INR,pay_2026_H2_02748,1786362574,2026-08-10,rcpt_2026_H2_rf_009,processed,normal,normal,UTR_2026_H2_RF_009,,
rfnd_2026_H2_010,refund,1329900,INR,pay_2026_H2_16589,1795894049,2026-11-28,rcpt_2026_H2_rf_010,processed,normal,normal,UTR_2026_H2_RF_010,,
rfnd_2026_H2_011,refund,222400,INR,pay_2026_H2_18335,1796414922,2026-12-04,rcpt_2026_H2_rf_011,processed,normal,normal,UTR_2026_H2_RF_011,,
rfnd_2026_H2_012,refund,1144500,INR,pay_2026_H2_04591,1787175760,2026-08-19,rcpt_2026_H2_rf_012,processed,normal,normal,UTR_2026_H2_RF_012,,
rfnd_2026_H2_013,refund,2604800,INR,pay_2026_H2_06243,1790378302,2026-09-25,rcpt_2026_H2_rf_013,processed,normal,normal,UTR_2026_H2_RF_013,,
rfnd_2026_H2_014,refund,184500,INR,pay_2026_H2_14566,1794560466,2026-11-13,rcpt_2026_H2_rf_014,processed,normal,normal,UTR_2026_H2_RF_014,,
rfnd_2026_H2_015,refund,278900,INR,pay_2026_H2_03369,1788200460,2026-08-31,rcpt_2026_H2_rf_015,processed,normal,normal,UTR_2026_H2_RF_015,,
rfnd_2026_H2_016,refund,318400,INR,pay_2026_H2_06901,1791701503,2026-10-11,rcpt_2026_H2_rf_016,processed,normal,normal,UTR_2026_H2_RF_016,,
rfnd_2026_H2_017,refund,1537400,INR,pay_2026_H2_06072,1790861032,2026-10-01,rcpt_2026_H2_rf_017,processed,normal,normal,UTR_2026_H2_RF_017,,
rfnd_2026_H2_018,refund,923700,INR,pay_2026_H2_21488,1798925283,2027-01-02,rcpt_2026_H2_rf_018,processed,normal,normal,UTR_2026_H2_RF_018,,
rfnd_2026_H2_019,refund,1008700,INR,pay_2026_H2_11747,1791646693,2026-10-10,rcpt_2026_H2_rf_019,processed,normal,normal,UTR_2026_H2_RF_019,,
rfnd_2026_H2_020,refund,786700,INR,pay_2026_H2_14233,1793386246,2026-10-30,rcpt_2026_H2_rf_020,processed,normal,normal,UTR_2026_H2_RF_020,,
rfnd_2026_H2_021,refund,1419100,INR,pay_2026_H2_02801,1787739003,2026-08-26,rcpt_2026_H2_rf_021,processed,normal,normal,UTR_2026_H2_RF_021,,
rfnd_2026_H2_022,refund,2805800,INR,pay_2026_H2_18069,1795145174,2026-11-20,rcpt_2026_H2_rf_022,processed,normal,normal,UTR_2026_H2_RF_022,,
rfnd_2026_H2_023,refund,1059000,INR,pay_2026_H2_05613,1789448704,2026-09-15,rcpt_2026_H2_rf_023,processed,normal,normal,UTR_2026_H2_RF_023,,
rfnd_2026_H2_024,refund,75300,INR,pay_2026_H2_14411,1794930209,2026-11-17,rcpt_2026_H2_rf_024,processed,normal,normal,UTR_2026_H2_RF_024,,
rfnd_2026_H2_025,refund,48800,INR,pay_2026_H2_03651,1788424280,2026-09-03,rcpt_2026_H2_rf_025,processed,normal,normal,UTR_2026_H2_RF_025,,
rfnd_2026_H2_026,refund,1883300,INR,pay_2026_H2_16815,1795611771,2026-11-25,rcpt_2026_H2_rf_026,processed,normal,normal,UTR_2026_H2_RF_026,,
rfnd_2026_H2_027,refund,227300,INR,pay_2026_H2_09495,1793166577,2026-10-28,rcpt_2026_H2_rf_027,processed,normal,normal,UTR_2026_H2_RF_027,,
rfnd_2026_H2_028,refund,412100,INR,pay_2026_H2_16725,1795046364,2026-11-18,rcpt_2026_H2_rf_028,processed,normal,normal,UTR_2026_H2_RF_028,,
