bank_credit_id,settlement_id,utr,credit_date,amount,currency,bank_status,reference
bc_2025_H2_00001,set_2025_H2_00001,UTR2025H200001,2025-07-02,160511210,INR,credited,ICICI/UTR2025H200001
bc_2025_H2_00002,set_2025_H2_00002,UTR2025H200002,2025-07-03,131454590,INR,credited,ICICI/UTR2025H200002
bc_2025_H2_00003,set_2025_H2_00003,UTR2025H200003,2025-07-04,214540155,INR,credited,ICICI/UTR2025H200003
bc_2025_H2_00004,set_2025_H2_00004,UTR2025H200004,2025-07-05,200041302,INR,credited,ICICI/UTR2025H200004
bc_2025_H2_00005,set_2025_H2_00005,UTR2025H200005,2025-07-06,242294016,INR,credited,ICICI/UTR2025H200005
bc_2025_H2_00006,set_2025_H2_00006,UTR2025H200006,2025-07-07,184742412,INR,credited,ICICI/UTR2025H200006
bc_2025_H2_00007,set_2025_H2_00007,UTR2025H200007,2025-07-08,155741713,INR,credited,ICICI/UTR2025H200007
bc_2025_H2_00008,set_2025_H2_00008,UTR2025H200008,2025-07-09,160848775,INR,credited,ICICI/UTR2025H200008
bc_2025_H2_00009,set_2025_H2_00009,UTR2025H200009,2025-07-10,152734780,INR,credited,ICICI/UTR2025H200009
bc_2025_H2_00010,set_2025_H2_00010,UTR2025H200010,2025-07-11,198857337,INR,credited,ICICI/UTR2025H200010
bc_2025_H2_00011,set_2025_H2_00011,UTR2025H200011,2025-07-12,247834196,INR,credited,ICICI/UTR2025H200011
bc_2025_H2_00012,set_2025_H2_00012,UTR2025H200012,2025-07-13,217208397,INR,credited,ICICI/UTR2025H200012
bc_2025_H2_00013,set_2025_H2_00013,UTR2025H200013,2025-07-14,203330726,INR,credited,ICICI/UTR2025H200013
bc_2025_H2_00014,set_2025_H2_00014,UTR2025H200014,2025-07-15,197071222,INR,credited,ICICI/UTR2025H200014
bc_2025_H2_00015,set_2025_H2_00015,UTR2025H200015,2025-07-16,163560670,INR,credited,ICICI/UTR2025H200015
bc_2025_H2_00016,set_2025_H2_00016,UTR2025H200016,2025-07-17,190041959,INR,credited,ICICI/UTR2025H200016
bc_2025_H2_00017,set_2025_H2_00017,UTR2025H200017,2025-07-18,152075081,INR,credited,ICICI/UTR2025H200017
bc_2025_H2_00018,set_2025_H2_00018,UTR2025H200018,2025-07-19,169203806,INR,credited,ICICI/UTR2025H200018
bc_2025_H2_00019,set_2025_H2_00019,UTR2025H200019,2025-07-20,197616628,INR,credited,ICICI/UTR2025H200019
bc_2025_H2_00020,set_2025_H2_00020,UTR2025H200020,2025-07-21,239955914,INR,credited,ICICI/UTR2025H200020
bc_2025_H2_00021,set_2025_H2_00021,UTR2025H200021,2025-07-22,208465125,INR,credited,ICICI/UTR2025H200021
bc_2025_H2_00022,set_2025_H2_00022,UTR2025H200022,2025-07-23,156107152,INR,credited,ICICI/UTR2025H200022
bc_2025_H2_00023,set_2025_H2_00023,UTR2025H200023,2025-07-24,175690010,INR,credited,ICICI/UTR2025H200023
bc_2025_H2_00024,set_2025_H2_00024,UTR2025H200024,2025-07-25,235829692,INR,credited,ICICI/UTR2025H200024
bc_2025_H2_00025,set_2025_H2_00025,UTR2025H200025,2025-07-26,182051148,INR,credited,ICICI/UTR2025H200025
bc_2025_H2_00026,set_2025_H2_00026,UTR2025H200026,2025-07-27,199431261,INR,credited,ICICI/UTR2025H200026
bc_2025_H2_00027,set_2025_H2_00027,UTR2025H200027,2025-07-28,207407503,INR,credited,ICICI/UTR2025H200027
bc_2025_H2_00028,set_2025_H2_00028,UTR2025H200028,2025-07-29,147627686,INR,credited,ICICI/UTR2025H200028
bc_2025_H2_00029,set_2025_H2_00029,UTR2025H200029,2025-07-30,161433835,INR,credited,ICICI/UTR2025H200029
bc_2025_H2_00030,set_2025_H2_00030,UTR2025H200030,2025-07-31,127486988,INR,credited,ICICI/UTR2025H200030
bc_2025_H2_00031,set_2025_H2_00031,UTR2025H200031,2025-08-01,133209172,INR,credited,ICICI/UTR2025H200031
bc_2025_H2_00032,set_2025_H2_00032,UTR2025H200032,2025-08-02,141378824,INR,credited,ICICI/UTR2025H200032
bc_2025_H2_00033,set_2025_H2_00033,UTR2025H200033,2025-08-03,225812208,INR,credited,ICICI/UTR2025H200033
bc_2025_H2_00034,set_2025_H2_00034,UTR2025H200034,2025-08-04,123157194,INR,credited,ICICI/UTR2025H200034
bc_2025_H2_00035,set_2025_H2_00035,UTR2025H200035,2025-08-05,225725529,INR,credited,ICICI/UTR2025H200035
bc_2025_H2_00036,set_2025_H2_00036,UTR2025H200036,2025-08-06,206693239,INR,credited,ICICI/UTR2025H200036
bc_2025_H2_00037,set_2025_H2_00037,UTR2025H200037,2025-08-07,220328162,INR,credited,ICICI/UTR2025H200037
bc_2025_H2_00038,set_2025_H2_00038,UTR2025H200038,2025-08-08,201550293,INR,credited,ICICI/UTR2025H200038
bc_2025_H2_00039,set_2025_H2_00039,UTR2025H200039,2025-08-09,207396513,INR,credited,ICICI/UTR2025H200039
bc_2025_H2_00040,set_2025_H2_00040,UTR2025H200040,2025-08-10,173715617,INR,credited,ICICI/UTR2025H200040
bc_2025_H2_00041,set_2025_H2_00041,UTR2025H200041,2025-08-11,176690542,INR,credited,ICICI/UTR2025H200041
bc_2025_H2_00042,set_2025_H2_00042,UTR2025H200042,2025-08-12,199426743,INR,credited,ICICI/UTR2025H200042
bc_2025_H2_00043,set_2025_H2_00043,UTR2025H200043,2025-08-13,349744650,INR,credited,ICICI/UTR2025H200043
bc_2025_H2_00044,set_2025_H2_00044,UTR2025H200044,2025-08-14,159394413,INR,credited,ICICI/UTR2025H200044
bc_2025_H2_00045,set_2025_H2_00045,UTR2025H200045,2025-08-15,156105790,INR,credited,ICICI/UTR2025H200045
bc_2025_H2_00046,set_2025_H2_00046,UTR2025H200046,2025-08-16,223468013,INR,credited,ICICI/UTR2025H200046
bc_2025_H2_00047,set_2025_H2_00047,UTR2025H200047,2025-08-17,190559585,INR,credited,ICICI/UTR2025H200047
bc_2025_H2_00048,set_2025_H2_00048,UTR2025H200048,2025-08-18,170289309,INR,credited,ICICI/UTR2025H200048
bc_2025_H2_00049,set_2025_H2_00049,UTR2025H200049,2025-08-19,140404591,INR,credited,ICICI/UTR2025H200049
bc_2025_H2_00050,set_2025_H2_00050,UTR2025H200050,2025-08-20,141074910,INR,credited,ICICI/UTR2025H200050
bc_2025_H2_00051,set_2025_H2_00051,UTR2025H200051,2025-08-21,166825269,INR,credited,ICICI/UTR2025H200051
bc_2025_H2_00052,set_2025_H2_00052,UTR2025H200052,2025-08-22,227368453,INR,credited,ICICI/UTR2025H200052
bc_2025_H2_00053,set_2025_H2_00053,UTR2025H200053,2025-08-23,239274487,INR,credited,ICICI/UTR2025H200053
bc_2025_H2_00054,set_2025_H2_00054,UTR2025H200054,2025-08-24,239740812,INR,credited,ICICI/UTR2025H200054
