id,entity,amount,currency,status,order_id,invoice_id,description,method,captured,refund_status,amount_refunded,fee,tax,created_at,created_date,contract_fee_rate,applied_fee_rate,anomaly_type,base_fee
pay_2025_H2_00807,payment,644737,INR,captured,order_2025_H2_00807,inv_2025_H2_00807,Gifting & hampers order,upi,true,null,0,11605,0,1751353688,2025-07-01,0.018,0.018,,116.05
pay_2025_H2_00860,payment,914668,INR,captured,order_2025_H2_00860,inv_2025_H2_00860,Fitness & sports equipment,upi,true,null,0,16464,0,1751353712,2025-07-01,0.018,0.018,,164.64
pay_2025_H2_01213,payment,1272742,INR,captured,order_2025_H2_01213,inv_2025_H2_01213,Books & premium stationery,card,true,null,0,22909,0,1751354975,2025-07-01,0.018,0.018,,229.09
pay_2025_H2_00758,payment,4434549,INR,captured,order_2025_H2_00758,inv_2025_H2_00758,Kitchen accessories bundle,upi,true,null,0,79822,0,1751356252,2025-07-01,0.018,0.018,,798.22
pay_2025_H2_00800,payment,227421,INR,captured,order_2025_H2_00800,inv_2025_H2_00800,Pet care supplies,upi,true,null,0,4094,0,1751357676,2025-07-01,0.018,0.018,,40.94
pay_2025_H2_02139,payment,382377,INR,captured,order_2025_H2_02139,inv_2025_H2_02139,Fitness & sports equipment,upi,true,null,0,6883,0,1751358473,2025-07-01,0.018,0.018,,68.83
pay_2025_H2_00143,payment,539265,INR,captured,order_2025_H2_00143,inv_2025_H2_00143,Personal care products,upi,true,null,0,9707,0,1751360540,2025-07-01,0.018,0.018,,97.07
pay_2025_H2_00507,payment,1707403,INR,captured,order_2025_H2_00507,inv_2025_H2_00507,Electronics accessories pack,netbanking,true,null,0,30733,0,1751361029,2025-07-01,0.018,0.018,,307.33
pay_2025_H2_01388,payment,491775,INR,captured,order_2025_H2_01388,inv_2025_H2_01388,Health & wellness kit,upi,true,null,0,8852,0,1751361292,2025-07-01,0.018,0.018,,88.52
pay_2025_H2_01871,payment,275850,INR,captured,order_2025_H2_01871,inv_2025_H2_01871,Kitchen accessories bundle,netbanking,true,null,0,4965,0,1751361647,2025-07-01,0.018,0.018,,49.65
pay_2025_H2_00385,payment,244267,INR,captured,order_2025_H2_00385,inv_2025_H2_00385,Fashion & apparel order,wallet,true,null,0,4397,0,1751364862,2025-07-01,0.018,0.018,,43.97
pay_2025_H2_02262,payment,310184,INR,captured,order_2025_H2_02262,inv_2025_H2_02262,Electronics accessories pack,card,true,null,0,5583,0,1751366181,2025-07-01,0.018,0.018,,55.83
pay_2025_H2_00410,payment,2279954,INR,captured,order_2025_H2_00410,inv_2025_H2_00410,Pet care supplies,upi,true,null,0,41039,0,1751367172,2025-07-01,0.018,0.018,,410.39
pay_2025_H2_01447,payment,2547683,INR,captured,order_2025_H2_01447,inv_2025_H2_01447,Home decor purchase,upi,true,null,0,45858,0,1751367448,2025-07-01,0.018,0.018,,458.58
