entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,payment_id,order_id,method,anomaly_type
pay_2025_H2_00004,payment,0,706426,706426,INR,12716,0,false,true,1751403908,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00004,order_2025_H2_00004,card,
pay_2025_H2_00022,payment,0,1954520,1954520,INR,35181,0,false,true,1751380639,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00022,order_2025_H2_00022,card,
pay_2025_H2_00075,payment,0,4258808,4258808,INR,76659,0,false,true,1751406572,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00075,order_2025_H2_00075,card,
pay_2025_H2_00078,payment,0,1207553,1207553,INR,21736,0,false,true,1751369104,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00078,order_2025_H2_00078,upi,
pay_2025_H2_00126,payment,0,489121,489121,INR,8804,0,false,true,1751398452,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00126,order_2025_H2_00126,card,
pay_2025_H2_00143,payment,0,539265,539265,INR,9707,0,false,true,1751360540,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00143,order_2025_H2_00143,upi,
pay_2025_H2_00276,payment,0,569671,569671,INR,10254,0,false,true,1751396400,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00276,order_2025_H2_00276,upi,
pay_2025_H2_00280,payment,0,209036,209036,INR,3763,0,false,true,1751404738,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00280,order_2025_H2_00280,upi,
pay_2025_H2_00291,payment,0,539172,539172,INR,9705,0,false,true,1751405446,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00291,order_2025_H2_00291,card,
pay_2025_H2_00295,payment,0,391350,391350,INR,7044,0,false,true,1751393474,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00295,order_2025_H2_00295,upi,
pay_2025_H2_00363,payment,0,301412,301412,INR,5425,0,false,true,1751394543,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00363,order_2025_H2_00363,card,
pay_2025_H2_00385,payment,0,244267,244267,INR,4397,0,false,true,1751364862,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00385,order_2025_H2_00385,wallet,
pay_2025_H2_00395,payment,0,1380924,1380924,INR,24857,0,false,true,1751376686,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00395,order_2025_H2_00395,netbanking,
pay_2025_H2_00410,payment,0,2279954,2279954,INR,41039,0,false,true,1751367172,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00410,order_2025_H2_00410,upi,
pay_2025_H2_00436,payment,0,376897,376897,INR,6784,0,false,true,1751390452,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00436,order_2025_H2_00436,upi,
pay_2025_H2_00487,payment,0,275839,275839,INR,4965,0,false,true,1751411775,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00487,order_2025_H2_00487,upi,
pay_2025_H2_00507,payment,0,1707403,1707403,INR,30733,0,false,true,1751361029,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00507,order_2025_H2_00507,netbanking,
pay_2025_H2_00532,payment,0,225146,225146,INR,4053,0,false,true,1751383245,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00532,order_2025_H2_00532,upi,
pay_2025_H2_00539,payment,0,283991,283991,INR,5112,0,false,true,1751385133,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00539,order_2025_H2_00539,card,
pay_2025_H2_00582,payment,0,1609409,1609409,INR,28969,0,false,true,1751397559,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00582,order_2025_H2_00582,upi,
pay_2025_H2_00726,payment,0,863929,863929,INR,15551,0,false,true,1751412820,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00726,order_2025_H2_00726,upi,
pay_2025_H2_00728,payment,0,10640556,10640556,INR,191530,0,false,true,1751381261,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00728,order_2025_H2_00728,netbanking,
pay_2025_H2_00736,payment,0,1859394,1859394,INR,33469,0,false,true,1751367674,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00736,order_2025_H2_00736,upi,
pay_2025_H2_00742,payment,0,1126845,1126845,INR,20283,0,false,true,1751389686,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00742,order_2025_H2_00742,card,
pay_2025_H2_00746,payment,0,16505123,16505123,INR,297092,0,false,true,1751409716,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00746,order_2025_H2_00746,card,
pay_2025_H2_00756,payment,0,471605,471605,INR,8489,0,false,true,1751391525,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00756,order_2025_H2_00756,netbanking,
pay_2025_H2_00758,payment,0,4434549,4434549,INR,79822,0,false,true,1751356252,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00758,order_2025_H2_00758,upi,
pay_2025_H2_00800,payment,0,227421,227421,INR,4094,0,false,true,1751357676,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00800,order_2025_H2_00800,upi,
pay_2025_H2_00807,payment,0,644737,644737,INR,11605,0,false,true,1751353688,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00807,order_2025_H2_00807,upi,
pay_2025_H2_00811,payment,0,973840,973840,INR,17529,0,false,true,1751377820,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00811,order_2025_H2_00811,upi,
pay_2025_H2_00860,payment,0,914668,914668,INR,16464,0,false,true,1751353712,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00860,order_2025_H2_00860,upi,
pay_2025_H2_00892,payment,0,1999113,1999113,INR,35984,0,false,true,1751377125,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00892,order_2025_H2_00892,upi,
pay_2025_H2_00912,payment,0,1218958,1218958,INR,21941,0,false,true,1751412058,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00912,order_2025_H2_00912,upi,
pay_2025_H2_00938,payment,0,478387,478387,INR,8611,0,false,true,1751395483,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_00938,order_2025_H2_00938,upi,
pay_2025_H2_01001,payment,0,9401431,9401431,INR,169226,0,false,true,1751373298,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01001,order_2025_H2_01001,upi,
pay_2025_H2_01015,payment,0,202081,202081,INR,3637,0,false,true,1751389451,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01015,order_2025_H2_01015,card,
pay_2025_H2_01041,payment,0,1168559,1168559,INR,21034,0,false,true,1751413880,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01041,order_2025_H2_01041,wallet,
pay_2025_H2_01058,payment,0,4363640,4363640,INR,78546,0,false,true,1751411175,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01058,order_2025_H2_01058,card,
pay_2025_H2_01104,payment,0,10654996,10654996,INR,191790,0,false,true,1751403217,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01104,order_2025_H2_01104,netbanking,
pay_2025_H2_01213,payment,0,1272742,1272742,INR,22909,0,false,true,1751354975,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01213,order_2025_H2_01213,card,
pay_2025_H2_01264,payment,0,2581899,2581899,INR,46474,0,false,true,1751400278,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01264,order_2025_H2_01264,upi,
pay_2025_H2_01268,payment,0,4716883,4716883,INR,84904,0,false,true,1751372993,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01268,order_2025_H2_01268,upi,
pay_2025_H2_01296,payment,0,2797227,2797227,INR,50350,0,false,true,1751392744,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01296,order_2025_H2_01296,netbanking,
pay_2025_H2_01303,payment,0,348541,348541,INR,6274,0,false,true,1751392527,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01303,order_2025_H2_01303,upi,
pay_2025_H2_01309,payment,0,397208,397208,INR,7150,0,false,true,1751402989,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01309,order_2025_H2_01309,upi,
pay_2025_H2_01347,payment,0,2900830,2900830,INR,52215,0,false,true,1751413255,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01347,order_2025_H2_01347,upi,
pay_2025_H2_01388,payment,0,491775,491775,INR,8852,0,false,true,1751361292,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01388,order_2025_H2_01388,upi,
pay_2025_H2_01426,payment,0,625539,625539,INR,11260,0,false,true,1751405873,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01426,order_2025_H2_01426,upi,
pay_2025_H2_01447,payment,0,2547683,2547683,INR,45858,0,false,true,1751367448,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01447,order_2025_H2_01447,upi,
pay_2025_H2_01483,payment,0,314149,314149,INR,5655,0,false,true,1751405754,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01483,order_2025_H2_01483,upi,
pay_2025_H2_01529,payment,0,3424284,3424284,INR,61637,0,false,true,1751383911,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01529,order_2025_H2_01529,upi,
pay_2025_H2_01553,payment,0,185137,185137,INR,3332,0,false,true,1751391559,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01553,order_2025_H2_01553,upi,
pay_2025_H2_01581,payment,0,16965638,16965638,INR,305381,0,false,true,1751412505,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01581,order_2025_H2_01581,card,
pay_2025_H2_01588,payment,0,209721,209721,INR,3775,0,false,true,1751368407,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01588,order_2025_H2_01588,netbanking,
pay_2025_H2_01704,payment,0,360596,360596,INR,6491,0,false,true,1751378974,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01704,order_2025_H2_01704,netbanking,
pay_2025_H2_01762,payment,0,1325607,1325607,INR,23861,0,false,true,1751398562,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01762,order_2025_H2_01762,upi,
pay_2025_H2_01871,payment,0,275850,275850,INR,4965,0,false,true,1751361647,1751446800,set_2025_H2_00001,UTR2025H200001,pay_2025_H2_01871,order_2025_H2_01871,netbanking,
