entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id,anomaly_type
pay_EH24010400001,payment,0,1214734,1237000,INR,22266,0,false,true,1704362400,1704475800,setl_EH2401050004,Online electronics order,,pay_EH24010400001,EH2024010500000004,order_EH24010400001,,upi,,,,,
pay_EH24011200002,payment,0,1119480,1140000,INR,20520,0,false,true,1705057260,1705253400,setl_EH2401140011,Online electronics order,,pay_EH24011200002,EH2024011400000011,order_EH24011200002,,netbanking,,,,,
pay_EH24012400003,payment,0,303438,309000,INR,5562,0,false,true,1706097720,1706203800,setl_EH2401250021,Online electronics order,,pay_EH24012400003,EH2024012500000021,order_EH24012400003,,upi,,,,,
pay_EH24010100004,payment,0,538136,548000,INR,9864,0,false,true,1704114180,1704216600,setl_EH2401020001,Online electronics order,,pay_EH24010100004,EH2024010200000001,order_EH24010100004,,upi,,,,,
pay_EH24011500005,payment,0,483144,492000,INR,8856,0,false,true,1705327440,1705426200,setl_EH2401160013,Online electronics order,,pay_EH24011500005,EH2024011600000013,order_EH24011500005,,upi,,,,,
pay_EH24011800006,payment,0,942720,960000,INR,17280,0,false,true,1705590300,1705685400,setl_EH2401190016,Online electronics order,,pay_EH24011800006,EH2024011900000016,order_EH24011800006,,upi,,,,,
pay_EH24012600007,payment,0,565632,576000,INR,10368,0,false,true,1706285160,1706463000,setl_EH2401280023,Online electronics order,,pay_EH24012600007,EH2024012800000023,order_EH24012600007,,upi,,,,,
pay_EH24011600008,payment,0,858268,874000,INR,15732,0,false,true,1705424820,1705512600,setl_EH2401170014,Online electronics order,,pay_EH24011600008,EH2024011700000014,order_EH24011600008,,card,American Express,,credit,,
pay_EH24012000009,payment,0,535190,545000,INR,9810,0,false,true,1705774080,1705944600,setl_EH2401220018,Online electronics order,,pay_EH24012000009,EH2024012200000018,order_EH24012000009,,card,Visa,,debit,,
pay_EH24011300010,payment,0,1857944,1892000,INR,34056,0,false,true,1705172940,1705339800,setl_EH2401150012,Online electronics order,,pay_EH24011300010,EH2024011500000012,order_EH24011300010,,upi,,,,,
pay_EH24010900011,payment,0,272996,278000,INR,5004,0,false,true,1704795000,1704907800,setl_EH2401100008,Online electronics order,,pay_EH24010900011,EH2024011000000008,order_EH24010900011,,netbanking,,,,,
pay_EH24010200012,payment,0,401638,409000,INR,7362,0,false,true,1704193860,1704303000,setl_EH2401030002,Online electronics order,,pay_EH24010200012,EH2024010300000002,order_EH24010200012,,upi,,,,,
pay_EH24012900013,payment,0,411458,419000,INR,7542,0,false,true,1706530320,1706635800,setl_EH2401300025,Online electronics order,,pay_EH24012900013,EH2024013000000025,order_EH24012900013,,upi,,,,,
pay_EH24012400014,payment,0,709004,722000,INR,12996,0,false,true,1706101980,1706203800,setl_EH2401250021,Online electronics order,,pay_EH24012400014,EH2024012500000021,order_EH24012400014,,upi,,,,,
