bank_credit_id,settlement_id,utr,credit_date,amount,currency,bank_status,reference
bc_2024_H1_00001,set_2024_H1_00001,UTR2024H100001,2024-01-02,160552811,INR,credited,ICICI/UTR2024H100001
bc_2024_H1_00002,set_2024_H1_00002,UTR2024H100002,2024-01-03,176022720,INR,credited,ICICI/UTR2024H100002
bc_2024_H1_00003,set_2024_H1_00003,UTR2024H100003,2024-01-04,175397507,INR,credited,ICICI/UTR2024H100003
bc_2024_H1_00004,set_2024_H1_00004,UTR2024H100004,2024-01-05,248732809,INR,credited,ICICI/UTR2024H100004
bc_2024_H1_00005,set_2024_H1_00005,UTR2024H100005,2024-01-06,159189481,INR,credited,ICICI/UTR2024H100005
bc_2024_H1_00006,set_2024_H1_00006,UTR2024H100006,2024-01-07,208840424,INR,credited,ICICI/UTR2024H100006
bc_2024_H1_00007,set_2024_H1_00007,UTR2024H100007,2024-01-08,174411520,INR,credited,ICICI/UTR2024H100007
bc_2024_H1_00008,set_2024_H1_00008,UTR2024H100008,2024-01-09,145149023,INR,credited,ICICI/UTR2024H100008
bc_2024_H1_00009,set_2024_H1_00009,UTR2024H100009,2024-01-10,176343707,INR,credited,ICICI/UTR2024H100009
bc_2024_H1_00010,set_2024_H1_00010,UTR2024H100010,2024-01-11,146547118,INR,credited,ICICI/UTR2024H100010
bc_2024_H1_00011,set_2024_H1_00011,UTR2024H100011,2024-01-12,212786723,INR,credited,ICICI/UTR2024H100011
bc_2024_H1_00012,set_2024_H1_00012,UTR2024H100012,2024-01-13,140270509,INR,credited,ICICI/UTR2024H100012
bc_2024_H1_00013,set_2024_H1_00013,UTR2024H100013,2024-01-14,157301885,INR,credited,ICICI/UTR2024H100013
bc_2024_H1_00014,set_2024_H1_00014,UTR2024H100014,2024-01-15,151486487,INR,credited,ICICI/UTR2024H100014
bc_2024_H1_00015,set_2024_H1_00015,UTR2024H100015,2024-01-16,125137106,INR,credited,ICICI/UTR2024H100015
bc_2024_H1_00016,set_2024_H1_00016,UTR2024H100016,2024-01-17,225628520,INR,credited,ICICI/UTR2024H100016
bc_2024_H1_00017,set_2024_H1_00017,UTR2024H100017,2024-01-18,175943214,INR,credited,ICICI/UTR2024H100017
bc_2024_H1_00018,set_2024_H1_00018,UTR2024H100018,2024-01-19,226841573,INR,credited,ICICI/UTR2024H100018
