id,entity,amount,status,fees,tax,utr,created_at,settlement_date,transaction_count,refund_adjustment
set_2024_H1_00001,settlement,160552811,processed,2942923,0,UTR2024H100001,1704186000,2024-01-02,75,0.00
set_2024_H1_00002,settlement,176022720,processed,3226491,0,UTR2024H100002,1704272400,2024-01-03,77,0.00
set_2024_H1_00003,settlement,175397507,processed,3215025,0,UTR2024H100003,1704358800,2024-01-04,63,0.00
set_2024_H1_00004,settlement,248732809,processed,4560742,0,UTR2024H100004,1704445200,2024-01-05,69,811.00
set_2024_H1_00005,settlement,159189481,processed,2917933,0,UTR2024H100005,1704531600,2024-01-06,88,0.00
set_2024_H1_00006,settlement,208840424,processed,3828040,0,UTR2024H100006,1704618000,2024-01-07,74,0.00
set_2024_H1_00007,settlement,174411520,processed,3270818,0,UTR2024H100007,1704704400,2024-01-08,70,40299.00
set_2024_H1_00008,settlement,145149023,processed,2670170,0,UTR2024H100008,1704790800,2024-01-09,73,5238.00
set_2024_H1_00009,settlement,176343707,processed,3370589,0,UTR2024H100009,1704877200,2024-01-10,67,75408.00
set_2024_H1_00010,settlement,146547118,processed,2686201,0,UTR2024H100010,1704963600,2024-01-11,66,0.00
set_2024_H1_00011,settlement,212786723,processed,4115407,0,UTR2024H100011,1705050000,2024-01-12,85,117316.00
set_2024_H1_00012,settlement,140270509,processed,2575418,0,UTR2024H100012,1705136400,2024-01-13,59,2327.00
set_2024_H1_00013,settlement,157301885,processed,2883332,0,UTR2024H100013,1705222800,2024-01-14,83,0.00
set_2024_H1_00014,settlement,151486487,processed,2865574,0,UTR2024H100014,1705309200,2024-01-15,61,48465.00
set_2024_H1_00015,settlement,125137106,processed,2293754,0,UTR2024H100015,1705395600,2024-01-16,67,0.00
set_2024_H1_00016,settlement,225628520,processed,4146877,0,UTR2024H100016,1705482000,2024-01-17,74,6066.00
set_2024_H1_00017,settlement,175943214,processed,3253133,0,UTR2024H100017,1705568400,2024-01-18,69,15332.00
set_2024_H1_00018,settlement,226841573,processed,4157996,0,UTR2024H100018,1705654800,2024-01-19,80,0.00
set_2024_H1_00019,settlement,136624694,processed,2525468,0,UTR2024H100019,1705741200,2024-01-20,64,11538.00
set_2024_H1_00020,settlement,232435458,processed,4307759,0,UTR2024H100020,1705827600,2024-01-21,71,25767.00
set_2024_H1_00021,settlement,173636412,processed,3182743,0,UTR2024H100021,1705914000,2024-01-22,77,0.00
set_2024_H1_00022,settlement,114190734,processed,2143415,0,UTR2024H100022,1706000400,2024-01-23,70,27445.00
set_2024_H1_00023,settlement,208042652,processed,3941937,0,UTR2024H100023,1706086800,2024-01-24,84,70118.00
set_2024_H1_00024,settlement,163911951,processed,3004496,0,UTR2024H100024,1706173200,2024-01-25,72,0.00
set_2024_H1_00025,settlement,204260830,processed,3858057,0,UTR2024H100025,1706259600,2024-01-26,85,62176.00
set_2024_H1_00026,settlement,157920720,processed,2911032,0,UTR2024H100026,1706346000,2024-01-27,78,8925.00
set_2024_H1_00027,settlement,209458252,processed,3944810,0,UTR2024H100027,1706432400,2024-01-28,87,57528.00
set_2024_H1_00028,settlement,164244285,processed,3010585,0,UTR2024H100028,1706518800,2024-01-29,61,0.00
set_2024_H1_00029,settlement,256303212,processed,4726714,0,UTR2024H100029,1706605200,2024-01-30,86,15653.00
set_2024_H1_00030,settlement,124327457,processed,2407720,0,UTR2024H100030,1706691600,2024-01-31,75,70269.00
set_2024_H1_00031,settlement,146415896,processed,2683796,0,UTR2024H100031,1706778000,2024-02-01,58,0.00
set_2024_H1_00032,settlement,237010432,processed,4354689,0,UTR2024H100032,1706864400,2024-02-02,91,5620.00
set_2024_H1_00033,settlement,201991086,processed,3769539,0,UTR2024H100033,1706950800,2024-02-03,90,36583.00
set_2024_H1_00034,settlement,263358357,processed,4827343,0,UTR2024H100034,1707037200,2024-02-04,103,0.00
set_2024_H1_00035,settlement,190616085,processed,3493981,0,UTR2024H100035,1707123600,2024-02-05,96,0.00
set_2024_H1_00036,settlement,160371756,processed,2939602,0,UTR2024H100036,1707210000,2024-02-06,78,0.00
set_2024_H1_00037,settlement,218879094,processed,4025853,0,UTR2024H100037,1707296400,2024-02-07,86,7537.00
set_2024_H1_00038,settlement,256430015,processed,4738195,0,UTR2024H100038,1707382800,2024-02-08,97,20647.00
set_2024_H1_00039,settlement,232248584,processed,4257106,0,UTR2024H100039,1707469200,2024-02-09,89,0.00
set_2024_H1_00040,settlement,189915800,processed,3513263,0,UTR2024H100040,1707555600,2024-02-10,86,17525.00
set_2024_H1_00041,settlement,229941363,processed,4228989,0,UTR2024H100041,1707642000,2024-02-11,73,7734.00
set_2024_H1_00042,settlement,276134989,processed,5279623,0,UTR2024H100042,1707728400,2024-02-12,109,118980.00
set_2024_H1_00043,settlement,194991787,processed,3574192,0,UTR2024H100043,1707814800,2024-02-13,94,0.00
set_2024_H1_00044,settlement,211222608,processed,3871701,0,UTR2024H100044,1707901200,2024-02-14,79,0.00
