id,entity,amount,currency,payment_id,created_at,created_date,receipt,status,speed_requested,speed_processed,acquirer_utr,anomaly_type,duplicate_of_refund_id
rfnd_2024_H1_001,refund,520000,INR,pay_2024_H1_00005,1715770800,2024-05-15,rcpt_2024_H1_rf_001,processed,normal,normal,,uncredited_refund,
rfnd_2024_H1_002,refund,183700,INR,pay_2024_H1_09568,1714359389,2024-04-29,rcpt_2024_H1_rf_002,processed,normal,normal,UTR_2024_H1_RF_002,,
rfnd_2024_H1_003,refund,595600,INR,pay_2024_H1_06694,1710688696,2024-03-17,rcpt_2024_H1_rf_003,processed,normal,normal,UTR_2024_H1_RF_003,,
rfnd_2024_H1_004,refund,2856600,INR,pay_2024_H1_11463,1717917214,2024-06-09,rcpt_2024_H1_rf_004,processed,normal,normal,UTR_2024_H1_RF_004,,
rfnd_2024_H1_005,refund,209400,INR,pay_2024_H1_12288,1715624387,2024-05-13,rcpt_2024_H1_rf_005,processed,normal,normal,UTR_2024_H1_RF_005,,
rfnd_2024_H1_006,refund,406100,INR,pay_2024_H1_06618,1712807094,2024-04-11,rcpt_2024_H1_rf_006,processed,normal,normal,UTR_2024_H1_RF_006,,
rfnd_2024_H1_007,refund,359500,INR,pay_2024_H1_03887,1709663607,2024-03-05,rcpt_2024_H1_rf_007,processed,normal,normal,UTR_2024_H1_RF_007,,
rfnd_2024_H1_008,refund,446300,INR,pay_2024_H1_07403,1711753747,2024-03-29,rcpt_2024_H1_rf_008,processed,normal,normal,UTR_2024_H1_RF_008,,
rfnd_2024_H1_009,refund,2545000,INR,pay_2024_H1_08619,1713961599,2024-04-24,rcpt_2024_H1_rf_009,processed,normal,normal,UTR_2024_H1_RF_009,,
rfnd_2024_H1_010,refund,136000,INR,pay_2024_H1_07053,1712019364,2024-04-02,rcpt_2024_H1_rf_010,processed,normal,normal,UTR_2024_H1_RF_010,,
rfnd_2024_H1_011,refund,1049200,INR,pay_2024_H1_01151,1706353875,2024-01-27,rcpt_2024_H1_rf_011,processed,normal,normal,UTR_2024_H1_RF_011,,
rfnd_2024_H1_012,refund,4029900,INR,pay_2024_H1_00094,1704603897,2024-01-07,rcpt_2024_H1_rf_012,processed,normal,normal,UTR_2024_H1_RF_012,,
rfnd_2024_H1_013,refund,292300,INR,pay_2024_H1_10190,1714022176,2024-04-25,rcpt_2024_H1_rf_013,processed,normal,normal,UTR_2024_H1_RF_013,,
rfnd_2024_H1_014,refund,9384900,INR,pay_2024_H1_06656,1711179307,2024-03-23,rcpt_2024_H1_rf_014,processed,normal,normal,UTR_2024_H1_RF_014,,
rfnd_2024_H1_015,refund,44700,INR,pay_2024_H1_10400,1713119066,2024-04-14,rcpt_2024_H1_rf_015,processed,normal,normal,UTR_2024_H1_RF_015,,
rfnd_2024_H1_016,refund,10000600,INR,pay_2024_H1_07375,1711381138,2024-03-25,rcpt_2024_H1_rf_016,processed,normal,normal,UTR_2024_H1_RF_016,,
rfnd_2024_H1_017,refund,254600,INR,pay_2024_H1_02995,1708123314,2024-02-16,rcpt_2024_H1_rf_017,processed,normal,normal,UTR_2024_H1_RF_017,,
rfnd_2024_H1_018,refund,802000,INR,pay_2024_H1_03956,1708110839,2024-02-16,rcpt_2024_H1_rf_018,processed,normal,normal,UTR_2024_H1_RF_018,,
rfnd_2024_H1_019,refund,2101100,INR,pay_2024_H1_01586,1706605860,2024-01-30,rcpt_2024_H1_rf_019,processed,normal,normal,UTR_2024_H1_RF_019,,
rfnd_2024_H1_020,refund,5244200,INR,pay_2024_H1_06936,1710774635,2024-03-18,rcpt_2024_H1_rf_020,processed,normal,normal,UTR_2024_H1_RF_020,,
rfnd_2024_H1_021,refund,591800,INR,pay_2024_H1_12696,1715817794,2024-05-16,rcpt_2024_H1_rf_021,processed,normal,normal,UTR_2024_H1_RF_021,,
rfnd_2024_H1_022,refund,330100,INR,pay_2024_H1_05537,1710117470,2024-03-11,rcpt_2024_H1_rf_022,processed,normal,normal,UTR_2024_H1_RF_022,,
rfnd_2024_H1_023,refund,893500,INR,pay_2024_H1_12972,1716577858,2024-05-24,rcpt_2024_H1_rf_023,processed,normal,normal,UTR_2024_H1_RF_023,,
rfnd_2024_H1_024,refund,263200,INR,pay_2024_H1_08355,1712856513,2024-04-11,rcpt_2024_H1_rf_024,processed,normal,normal,UTR_2024_H1_RF_024,,
rfnd_2024_H1_025,refund,58800,INR,pay_2024_H1_04550,1707556338,2024-02-10,rcpt_2024_H1_rf_025,processed,normal,normal,UTR_2024_H1_RF_025,,
rfnd_2024_H1_026,refund,226900,INR,pay_2024_H1_08167,1712692250,2024-04-09,rcpt_2024_H1_rf_026,processed,normal,normal,UTR_2024_H1_RF_026,,
rfnd_2024_H1_027,refund,222800,INR,pay_2024_H1_12853,1716822879,2024-05-27,rcpt_2024_H1_rf_027,processed,normal,normal,UTR_2024_H1_RF_027,,
rfnd_2024_H1_028,refund,1801600,INR,pay_2024_H1_10182,1714121878,2024-04-26,rcpt_2024_H1_rf_028,processed,normal,normal,UTR_2024_H1_RF_028,,
rfnd_2024_H1_029,refund,88800,INR,pay_2024_H1_06278,1710960133,2024-03-20,rcpt_2024_H1_rf_029,processed,normal,normal,UTR_2024_H1_RF_029,,
rfnd_2024_H1_030,refund,156600,INR,pay_2024_H1_08100,1712858642,2024-04-11,rcpt_2024_H1_rf_030,processed,normal,normal,UTR_2024_H1_RF_030,,
rfnd_2024_H1_031,refund,190600,INR,pay_2024_H1_12674,1714936594,2024-05-05,rcpt_2024_H1_rf_031,processed,normal,normal,UTR_2024_H1_RF_031,,
rfnd_2024_H1_032,refund,4006700,INR,pay_2024_H1_12001,1717618622,2024-06-05,rcpt_2024_H1_rf_032,processed,normal,normal,UTR_2024_H1_RF_032,,
rfnd_2024_H1_033,refund,4142700,INR,pay_2024_H1_03188,1708795070,2024-02-24,rcpt_2024_H1_rf_033,processed,normal,normal,UTR_2024_H1_RF_033,,
rfnd_2024_H1_034,refund,2106600,INR,pay_2024_H1_05952,1712524854,2024-04-07,rcpt_2024_H1_rf_034,processed,normal,normal,UTR_2024_H1_RF_034,,
rfnd_2024_H1_035,refund,194700,INR,pay_2024_H1_12134,1718056653,2024-06-10,rcpt_2024_H1_rf_035,processed,normal,normal,UTR_2024_H1_RF_035,,
