id,entity,amount,currency,status,order_id,invoice_id,description,method,captured,refund_status,amount_refunded,fee,tax,created_at,created_date,contract_fee_rate,applied_fee_rate,anomaly_type,base_fee
pay_2025_H1_00285,payment,759972,INR,captured,order_2025_H1_00285,inv_2025_H1_00285,Office lifestyle gear,upi,true,null,0,17479,0,1735715974,2025-01-01,0.018,0.023,fee_rate_increase,136.79
pay_2025_H1_02415,payment,481907,INR,captured,order_2025_H1_02415,inv_2025_H1_02415,Health & wellness kit,netbanking,true,null,0,8674,0,1735716622,2025-01-01,0.018,0.018,,86.74
pay_2025_H1_00830,payment,1075889,INR,captured,order_2025_H1_00830,inv_2025_H1_00830,Fashion & apparel order,card,true,null,0,24745,0,1735716678,2025-01-01,0.018,0.023,fee_rate_increase,193.66
pay_2025_H1_00054,payment,1079083,INR,captured,order_2025_H1_00054,inv_2025_H1_00054,Fashion & apparel order,card,true,null,0,24819,0,1735717933,2025-01-01,0.018,0.023,fee_rate_increase,194.23
pay_2025_H1_01328,payment,944317,INR,captured,order_2025_H1_01328,inv_2025_H1_01328,Seasonal festival purchase,upi,true,null,0,16998,0,1735718162,2025-01-01,0.018,0.018,,169.98
pay_2025_H1_01644,payment,366377,INR,captured,order_2025_H1_01644,inv_2025_H1_01644,Seasonal festival purchase,upi,true,null,0,6595,0,1735718191,2025-01-01,0.018,0.018,,65.95
pay_2025_H1_01158,payment,1143631,INR,captured,order_2025_H1_01158,inv_2025_H1_01158,Online lifestyle order,upi,true,null,0,20585,0,1735718720,2025-01-01,0.018,0.018,,205.85
pay_2025_H1_00090,payment,4888997,INR,captured,order_2025_H1_00090,inv_2025_H1_00090,Kitchen accessories bundle,netbanking,true,null,0,112447,0,1735720017,2025-01-01,0.018,0.023,fee_rate_increase,880.02
pay_2025_H1_00639,payment,827187,INR,captured,order_2025_H1_00639,inv_2025_H1_00639,Pet care supplies,card,true,null,0,19025,0,1735721993,2025-01-01,0.018,0.023,fee_rate_increase,148.89
pay_2025_H1_01540,payment,664290,INR,captured,order_2025_H1_01540,inv_2025_H1_01540,Office lifestyle gear,card,true,null,0,11957,0,1735722523,2025-01-01,0.018,0.018,,119.57
pay_2025_H1_00063,payment,290747,INR,captured,order_2025_H1_00063,inv_2025_H1_00063,Subscription box package,card,true,null,0,6687,0,1735722717,2025-01-01,0.018,0.023,fee_rate_increase,52.33
pay_2025_H1_01111,payment,3862486,INR,captured,order_2025_H1_01111,inv_2025_H1_01111,Gifting & hampers order,upi,true,null,0,88837,0,1735722733,2025-01-01,0.018,0.023,fee_rate_increase,695.25
pay_2025_H1_01531,payment,199285,INR,captured,order_2025_H1_01531,inv_2025_H1_01531,Office lifestyle gear,netbanking,true,null,0,3587,0,1735722741,2025-01-01,0.018,0.018,,35.87
pay_2025_H1_01113,payment,859109,INR,captured,order_2025_H1_01113,inv_2025_H1_01113,Electronics accessories pack,upi,true,null,0,19760,0,1735722762,2025-01-01,0.018,0.023,fee_rate_increase,154.64
pay_2025_H1_00715,payment,467198,INR,captured,order_2025_H1_00715,inv_2025_H1_00715,Home decor purchase,upi,true,null,0,10746,0,1735723425,2025-01-01,0.018,0.023,fee_rate_increase,84.10
pay_2025_H1_01977,payment,161759,INR,captured,order_2025_H1_01977,inv_2025_H1_01977,Home decor purchase,upi,true,null,0,2912,0,1735723651,2025-01-01,0.018,0.018,,29.12
pay_2025_H1_02614,payment,5939374,INR,captured,order_2025_H1_02614,inv_2025_H1_02614,Online lifestyle order,upi,true,null,0,106909,0,1735723791,2025-01-01,0.018,0.018,,1069.09
pay_2025_H1_01629,payment,5545147,INR,captured,order_2025_H1_01629,inv_2025_H1_01629,Kitchen accessories bundle,netbanking,true,null,0,99813,0,1735725322,2025-01-01,0.018,0.018,,998.13
pay_2025_H1_01763,payment,5911843,INR,captured,order_2025_H1_01763,inv_2025_H1_01763,Personal care products,upi,true,null,0,106413,0,1735725784,2025-01-01,0.018,0.018,,1064.13
pay_2025_H1_01076,payment,953574,INR,captured,order_2025_H1_01076,inv_2025_H1_01076,Home decor purchase,netbanking,true,null,0,21932,0,1735726776,2025-01-01,0.018,0.023,fee_rate_increase,171.64
