id,entity,amount,currency,status,order_id,invoice_id,description,method,captured,refund_status,amount_refunded,fee,tax,created_at,created_date,contract_fee_rate,applied_fee_rate,anomaly_type,base_fee
pay_2024_H2_01422,payment,207648,INR,captured,order_2024_H2_01422,inv_2024_H2_01422,Baby & kids care set,card,true,null,0,4776,0,1719817272,2024-07-01,0.018,0.023,fee_rate_increase,37.38
pay_2024_H2_02097,payment,825422,INR,captured,order_2024_H2_02097,inv_2024_H2_02097,Baby & kids care set,upi,true,null,0,14858,0,1719817283,2024-07-01,0.018,0.018,,148.58
pay_2024_H2_01609,payment,1862828,INR,captured,order_2024_H2_01609,inv_2024_H2_01609,Home decor purchase,card,true,null,0,42845,0,1719819392,2024-07-01,0.018,0.023,fee_rate_increase,335.31
pay_2024_H2_00952,payment,12793166,INR,captured,order_2024_H2_00952,inv_2024_H2_00952,Online lifestyle order,upi,true,null,0,294243,0,1719819405,2024-07-01,0.018,0.023,fee_rate_increase,2302.77
pay_2024_H2_00725,payment,354520,INR,captured,order_2024_H2_00725,inv_2024_H2_00725,Fitness & sports equipment,upi,true,null,0,8154,0,1719821366,2024-07-01,0.018,0.023,fee_rate_increase,63.81
pay_2024_H2_01164,payment,3057675,INR,captured,order_2024_H2_01164,inv_2024_H2_01164,Kitchen accessories bundle,wallet,true,null,0,70327,0,1719821418,2024-07-01,0.018,0.023,fee_rate_increase,550.38
pay_2024_H2_00806,payment,480433,INR,captured,order_2024_H2_00806,inv_2024_H2_00806,Electronics accessories pack,card,true,null,0,11050,0,1719822656,2024-07-01,0.018,0.023,fee_rate_increase,86.48
pay_2024_H2_00590,payment,1588611,INR,captured,order_2024_H2_00590,inv_2024_H2_00590,Home decor purchase,netbanking,true,null,0,36538,0,1719826639,2024-07-01,0.018,0.023,fee_rate_increase,285.95
pay_2024_H2_01504,payment,10766765,INR,captured,order_2024_H2_01504,inv_2024_H2_01504,Seasonal festival purchase,upi,true,null,0,247636,0,1719827658,2024-07-01,0.018,0.023,fee_rate_increase,1938.02
pay_2024_H2_01326,payment,361255,INR,captured,order_2024_H2_01326,inv_2024_H2_01326,Seasonal festival purchase,upi,true,null,0,8309,0,1719827725,2024-07-01,0.018,0.023,fee_rate_increase,65.03
pay_2024_H2_01237,payment,480266,INR,captured,order_2024_H2_01237,inv_2024_H2_01237,Online lifestyle order,netbanking,true,null,0,11046,0,1719827822,2024-07-01,0.018,0.023,fee_rate_increase,86.45
pay_2024_H2_01730,payment,325654,INR,captured,order_2024_H2_01730,inv_2024_H2_01730,Pet care supplies,card,true,null,0,7490,0,1719828394,2024-07-01,0.018,0.023,fee_rate_increase,58.62
pay_2024_H2_00042,payment,1908667,INR,captured,order_2024_H2_00042,inv_2024_H2_00042,Subscription box package,card,true,null,0,43899,0,1719828755,2024-07-01,0.018,0.023,fee_rate_increase,343.56
