id,entity,amount,status,fees,tax,utr,created_at,settlement_date,transaction_count,refund_adjustment
set_2024_H2_00001,settlement,194895975,processed,4513592,0,UTR2024H200001,1719910800,2024-07-02,74,0.00
set_2024_H2_00002,settlement,182196107,processed,4147097,0,UTR2024H200002,1719997200,2024-07-03,70,0.00
set_2024_H2_00003,settlement,135558031,processed,3117152,0,UTR2024H200003,1720083600,2024-07-04,66,0.00
set_2024_H2_00004,settlement,243157821,processed,5551948,0,UTR2024H200004,1720170000,2024-07-05,82,0.00
set_2024_H2_00005,settlement,207295502,processed,4711143,0,UTR2024H200005,1720256400,2024-07-06,69,0.00
set_2024_H2_00006,settlement,246053753,processed,5673137,0,UTR2024H200006,1720342800,2024-07-07,97,0.00
set_2024_H2_00007,settlement,242129188,processed,5398341,0,UTR2024H200007,1720429200,2024-07-08,80,0.00
set_2024_H2_00008,settlement,132052881,processed,3015352,0,UTR2024H200008,1720515600,2024-07-09,70,0.00
set_2024_H2_00009,settlement,160556308,processed,3739371,0,UTR2024H200009,1720602000,2024-07-10,73,0.00
set_2024_H2_00010,settlement,163239092,processed,3749277,0,UTR2024H200010,1720688400,2024-07-11,78,0.00
set_2024_H2_00011,settlement,147035246,processed,3451322,0,UTR2024H200011,1720774800,2024-07-12,65,0.00
set_2024_H2_00012,settlement,195712552,processed,4459681,0,UTR2024H200012,1720861200,2024-07-13,66,0.00
set_2024_H2_00013,settlement,139156202,processed,3216533,0,UTR2024H200013,1720947600,2024-07-14,68,0.00
set_2024_H2_00014,settlement,181528764,processed,4262504,0,UTR2024H200014,1721034000,2024-07-15,77,10375.00
set_2024_H2_00015,settlement,204558367,processed,4638245,0,UTR2024H200015,1721120400,2024-07-16,72,0.00
set_2024_H2_00016,settlement,142166848,processed,3247376,0,UTR2024H200016,1721206800,2024-07-17,80,0.00
set_2024_H2_00017,settlement,171685679,processed,3897249,0,UTR2024H200017,1721293200,2024-07-18,72,0.00
set_2024_H2_00018,settlement,130295532,processed,2929215,0,UTR2024H200018,1721379600,2024-07-19,61,0.00
set_2024_H2_00019,settlement,252176626,processed,5825523,0,UTR2024H200019,1721466000,2024-07-20,80,0.00
set_2024_H2_00020,settlement,179769518,processed,4055931,0,UTR2024H200020,1721552400,2024-07-21,76,0.00
set_2024_H2_00021,settlement,189331336,processed,4348629,0,UTR2024H200021,1721638800,2024-07-22,69,0.00
set_2024_H2_00022,settlement,125956017,processed,2893103,0,UTR2024H200022,1721725200,2024-07-23,63,0.00
set_2024_H2_00023,settlement,171016799,processed,3974588,0,UTR2024H200023,1721811600,2024-07-24,68,0.00
set_2024_H2_00024,settlement,176328781,processed,4019711,0,UTR2024H200024,1721898000,2024-07-25,79,0.00
set_2024_H2_00025,settlement,104145688,processed,2373933,0,UTR2024H200025,1721984400,2024-07-26,55,0.00
set_2024_H2_00026,settlement,149345340,processed,3420260,0,UTR2024H200026,1722070800,2024-07-27,58,0.00
set_2024_H2_00027,settlement,187204606,processed,4387844,0,UTR2024H200027,1722157200,2024-07-28,69,0.00
set_2024_H2_00028,settlement,173893364,processed,4009619,0,UTR2024H200028,1722243600,2024-07-29,85,0.00
set_2024_H2_00029,settlement,130882502,processed,3035931,0,UTR2024H200029,1722330000,2024-07-30,63,0.00
set_2024_H2_00030,settlement,205114011,processed,4706028,0,UTR2024H200030,1722416400,2024-07-31,72,0.00
