bank_credit_id,settlement_id,utr,credit_date,amount,currency,bank_status,reference
bc_2024_H2_00001,set_2024_H2_00001,UTR2024H200001,2024-07-02,194895975,INR,credited,ICICI/UTR2024H200001
bc_2024_H2_00002,set_2024_H2_00002,UTR2024H200002,2024-07-03,182196107,INR,credited,ICICI/UTR2024H200002
bc_2024_H2_00003,set_2024_H2_00003,UTR2024H200003,2024-07-04,135558031,INR,credited,ICICI/UTR2024H200003
bc_2024_H2_00004,set_2024_H2_00004,UTR2024H200004,2024-07-05,243157821,INR,credited,ICICI/UTR2024H200004
bc_2024_H2_00005,set_2024_H2_00005,UTR2024H200005,2024-07-06,207295502,INR,credited,ICICI/UTR2024H200005
bc_2024_H2_00006,set_2024_H2_00006,UTR2024H200006,2024-07-07,246053753,INR,credited,ICICI/UTR2024H200006
bc_2024_H2_00007,set_2024_H2_00007,UTR2024H200007,2024-07-08,242129188,INR,credited,ICICI/UTR2024H200007
bc_2024_H2_00008,set_2024_H2_00008,UTR2024H200008,2024-07-09,132052881,INR,credited,ICICI/UTR2024H200008
bc_2024_H2_00009,set_2024_H2_00009,UTR2024H200009,2024-07-10,160556308,INR,credited,ICICI/UTR2024H200009
bc_2024_H2_00010,set_2024_H2_00010,UTR2024H200010,2024-07-11,163239092,INR,credited,ICICI/UTR2024H200010
bc_2024_H2_00011,set_2024_H2_00011,UTR2024H200011,2024-07-12,147035246,INR,credited,ICICI/UTR2024H200011
bc_2024_H2_00012,set_2024_H2_00012,UTR2024H200012,2024-07-13,195712552,INR,credited,ICICI/UTR2024H200012
bc_2024_H2_00013,set_2024_H2_00013,UTR2024H200013,2024-07-14,139156202,INR,credited,ICICI/UTR2024H200013
bc_2024_H2_00014,set_2024_H2_00014,UTR2024H200014,2024-07-15,181528764,INR,credited,ICICI/UTR2024H200014
bc_2024_H2_00015,set_2024_H2_00015,UTR2024H200015,2024-07-16,204558367,INR,credited,ICICI/UTR2024H200015
bc_2024_H2_00016,set_2024_H2_00016,UTR2024H200016,2024-07-17,142166848,INR,credited,ICICI/UTR2024H200016
bc_2024_H2_00017,set_2024_H2_00017,UTR2024H200017,2024-07-18,171685679,INR,credited,ICICI/UTR2024H200017
bc_2024_H2_00018,set_2024_H2_00018,UTR2024H200018,2024-07-19,130295532,INR,credited,ICICI/UTR2024H200018
bc_2024_H2_00019,set_2024_H2_00019,UTR2024H200019,2024-07-20,252176626,INR,credited,ICICI/UTR2024H200019
bc_2024_H2_00020,set_2024_H2_00020,UTR2024H200020,2024-07-21,179769518,INR,credited,ICICI/UTR2024H200020
bc_2024_H2_00021,set_2024_H2_00021,UTR2024H200021,2024-07-22,189331336,INR,credited,ICICI/UTR2024H200021
bc_2024_H2_00022,set_2024_H2_00022,UTR2024H200022,2024-07-23,125956017,INR,credited,ICICI/UTR2024H200022
bc_2024_H2_00023,set_2024_H2_00023,UTR2024H200023,2024-07-24,171016799,INR,credited,ICICI/UTR2024H200023
bc_2024_H2_00024,set_2024_H2_00024,UTR2024H200024,2024-07-25,176328781,INR,credited,ICICI/UTR2024H200024
bc_2024_H2_00025,set_2024_H2_00025,UTR2024H200025,2024-07-26,104145688,INR,credited,ICICI/UTR2024H200025
bc_2024_H2_00026,set_2024_H2_00026,UTR2024H200026,2024-07-27,149345340,INR,credited,ICICI/UTR2024H200026
bc_2024_H2_00027,set_2024_H2_00027,UTR2024H200027,2024-07-28,187204606,INR,credited,ICICI/UTR2024H200027
bc_2024_H2_00028,set_2024_H2_00028,UTR2024H200028,2024-07-29,173893364,INR,credited,ICICI/UTR2024H200028
bc_2024_H2_00029,set_2024_H2_00029,UTR2024H200029,2024-07-30,130882502,INR,credited,ICICI/UTR2024H200029
bc_2024_H2_00030,set_2024_H2_00030,UTR2024H200030,2024-07-31,205114011,INR,credited,ICICI/UTR2024H200030
bc_2024_H2_00031,set_2024_H2_00031,UTR2024H200031,2024-08-01,164783360,INR,credited,ICICI/UTR2024H200031
bc_2024_H2_00032,set_2024_H2_00032,UTR2024H200032,2024-08-02,201330767,INR,credited,ICICI/UTR2024H200032
bc_2024_H2_00033,set_2024_H2_00033,UTR2024H200033,2024-08-03,164053429,INR,credited,ICICI/UTR2024H200033
bc_2024_H2_00034,set_2024_H2_00034,UTR2024H200034,2024-08-04,251803509,INR,credited,ICICI/UTR2024H200034
bc_2024_H2_00035,set_2024_H2_00035,UTR2024H200035,2024-08-05,201493530,INR,credited,ICICI/UTR2024H200035
bc_2024_H2_00036,set_2024_H2_00036,UTR2024H200036,2024-08-06,138440884,INR,credited,ICICI/UTR2024H200036
bc_2024_H2_00037,set_2024_H2_00037,UTR2024H200037,2024-08-07,178699208,INR,credited,ICICI/UTR2024H200037
bc_2024_H2_00038,set_2024_H2_00038,UTR2024H200038,2024-08-08,163490625,INR,credited,ICICI/UTR2024H200038
bc_2024_H2_00039,set_2024_H2_00039,UTR2024H200039,2024-08-09,186853498,INR,credited,ICICI/UTR2024H200039
bc_2024_H2_00040,set_2024_H2_00040,UTR2024H200040,2024-08-10,241530620,INR,credited,ICICI/UTR2024H200040
bc_2024_H2_00041,set_2024_H2_00041,UTR2024H200041,2024-08-11,200491601,INR,credited,ICICI/UTR2024H200041
bc_2024_H2_00042,set_2024_H2_00042,UTR2024H200042,2024-08-12,126404052,INR,credited,ICICI/UTR2024H200042
bc_2024_H2_00043,set_2024_H2_00043,UTR2024H200043,2024-08-13,160705668,INR,credited,ICICI/UTR2024H200043
bc_2024_H2_00044,set_2024_H2_00044,UTR2024H200044,2024-08-14,145558964,INR,credited,ICICI/UTR2024H200044
bc_2024_H2_00045,set_2024_H2_00045,UTR2024H200045,2024-08-15,166853963,INR,credited,ICICI/UTR2024H200045
bc_2024_H2_00046,set_2024_H2_00046,UTR2024H200046,2024-08-16,107785401,INR,credited,ICICI/UTR2024H200046
bc_2024_H2_00047,set_2024_H2_00047,UTR2024H200047,2024-08-17,189879665,INR,credited,ICICI/UTR2024H200047
bc_2024_H2_00048,set_2024_H2_00048,UTR2024H200048,2024-08-18,179664501,INR,credited,ICICI/UTR2024H200048
bc_2024_H2_00049,set_2024_H2_00049,UTR2024H200049,2024-08-19,232981373,INR,credited,ICICI/UTR2024H200049
bc_2024_H2_00050,set_2024_H2_00050,UTR2024H200050,2024-08-20,140400077,INR,credited,ICICI/UTR2024H200050
bc_2024_H2_00051,set_2024_H2_00051,UTR2024H200051,2024-08-21,198747589,INR,credited,ICICI/UTR2024H200051
bc_2024_H2_00052,set_2024_H2_00052,UTR2024H200052,2024-08-22,160062560,INR,credited,ICICI/UTR2024H200052
bc_2024_H2_00053,set_2024_H2_00053,UTR2024H200053,2024-08-23,168392989,INR,credited,ICICI/UTR2024H200053
bc_2024_H2_00054,set_2024_H2_00054,UTR2024H200054,2024-08-24,232749256,INR,credited,ICICI/UTR2024H200054
bc_2024_H2_00055,set_2024_H2_00055,UTR2024H200055,2024-08-25,149714153,INR,credited,ICICI/UTR2024H200055
bc_2024_H2_00056,set_2024_H2_00056,UTR2024H200056,2024-08-26,171266330,INR,credited,ICICI/UTR2024H200056
bc_2024_H2_00057,set_2024_H2_00057,UTR2024H200057,2024-08-27,163904959,INR,credited,ICICI/UTR2024H200057
bc_2024_H2_00058,set_2024_H2_00058,UTR2024H200058,2024-08-28,198463264,INR,credited,ICICI/UTR2024H200058
bc_2024_H2_00059,set_2024_H2_00059,UTR2024H200059,2024-08-29,184696960,INR,credited,ICICI/UTR2024H200059
bc_2024_H2_00060,set_2024_H2_00060,UTR2024H200060,2024-08-30,187392917,INR,credited,ICICI/UTR2024H200060
bc_2024_H2_00061,set_2024_H2_00061,UTR2024H200061,2024-08-31,164348277,INR,credited,ICICI/UTR2024H200061
bc_2024_H2_00062,set_2024_H2_00062,UTR2024H200062,2024-09-01,193515749,INR,credited,ICICI/UTR2024H200062
bc_2024_H2_00063,set_2024_H2_00063,UTR2024H200063,2024-09-02,237225631,INR,credited,ICICI/UTR2024H200063
bc_2024_H2_00064,set_2024_H2_00064,UTR2024H200064,2024-09-03,261199140,INR,credited,ICICI/UTR2024H200064
bc_2024_H2_00065,set_2024_H2_00065,UTR2024H200065,2024-09-04,218944863,INR,credited,ICICI/UTR2024H200065
bc_2024_H2_00066,set_2024_H2_00066,UTR2024H200066,2024-09-05,215347811,INR,credited,ICICI/UTR2024H200066
bc_2024_H2_00067,set_2024_H2_00067,UTR2024H200067,2024-09-06,214875684,INR,credited,ICICI/UTR2024H200067
bc_2024_H2_00068,set_2024_H2_00068,UTR2024H200068,2024-09-07,183427043,INR,credited,ICICI/UTR2024H200068
bc_2024_H2_00069,set_2024_H2_00069,UTR2024H200069,2024-09-08,154287545,INR,credited,ICICI/UTR2024H200069
bc_2024_H2_00070,set_2024_H2_00070,UTR2024H200070,2024-09-09,169855792,INR,credited,ICICI/UTR2024H200070
bc_2024_H2_00071,set_2024_H2_00071,UTR2024H200071,2024-09-10,174223431,INR,credited,ICICI/UTR2024H200071
bc_2024_H2_00072,set_2024_H2_00072,UTR2024H200072,2024-09-11,212194720,INR,credited,ICICI/UTR2024H200072
bc_2024_H2_00073,set_2024_H2_00073,UTR2024H200073,2024-09-12,261519494,INR,credited,ICICI/UTR2024H200073
bc_2024_H2_00074,set_2024_H2_00074,UTR2024H200074,2024-09-13,219080199,INR,credited,ICICI/UTR2024H200074
bc_2024_H2_00075,set_2024_H2_00075,UTR2024H200075,2024-09-14,248334685,INR,credited,ICICI/UTR2024H200075
bc_2024_H2_00076,set_2024_H2_00076,UTR2024H200076,2024-09-15,221862490,INR,credited,ICICI/UTR2024H200076
bc_2024_H2_00077,set_2024_H2_00077,UTR2024H200077,2024-09-16,182567093,INR,credited,ICICI/UTR2024H200077
bc_2024_H2_00078,set_2024_H2_00078,UTR2024H200078,2024-09-17,147480120,INR,credited,ICICI/UTR2024H200078
bc_2024_H2_00079,set_2024_H2_00079,UTR2024H200079,2024-09-18,264243667,INR,credited,ICICI/UTR2024H200079
bc_2024_H2_00080,set_2024_H2_00080,UTR2024H200080,2024-09-19,256938042,INR,credited,ICICI/UTR2024H200080
bc_2024_H2_00081,set_2024_H2_00081,UTR2024H200081,2024-09-20,201496058,INR,credited,ICICI/UTR2024H200081
bc_2024_H2_00082,set_2024_H2_00082,UTR2024H200082,2024-09-21,235363215,INR,credited,ICICI/UTR2024H200082
bc_2024_H2_00083,set_2024_H2_00083,UTR2024H200083,2024-09-22,171287852,INR,credited,ICICI/UTR2024H200083
bc_2024_H2_00084,set_2024_H2_00084,UTR2024H200084,2024-09-23,189731234,INR,credited,ICICI/UTR2024H200084
bc_2024_H2_00085,set_2024_H2_00085,UTR2024H200085,2024-09-24,267737707,INR,credited,ICICI/UTR2024H200085
bc_2024_H2_00086,set_2024_H2_00086,UTR2024H200086,2024-09-25,255812553,INR,credited,ICICI/UTR2024H200086
bc_2024_H2_00087,set_2024_H2_00087,UTR2024H200087,2024-09-26,193882808,INR,credited,ICICI/UTR2024H200087
bc_2024_H2_00088,set_2024_H2_00088,UTR2024H200088,2024-09-27,180153867,INR,credited,ICICI/UTR2024H200088
bc_2024_H2_00089,set_2024_H2_00089,UTR2024H200089,2024-09-28,248249898,INR,credited,ICICI/UTR2024H200089
bc_2024_H2_00090,set_2024_H2_00090,UTR2024H200090,2024-09-29,273982366,INR,credited,ICICI/UTR2024H200090
bc_2024_H2_00091,set_2024_H2_00091,UTR2024H200091,2024-09-30,260788419,INR,credited,ICICI/UTR2024H200091
bc_2024_H2_00092,set_2024_H2_00092,UTR2024H200092,2024-10-01,236860526,INR,credited,ICICI/UTR2024H200092
bc_2024_H2_00093,set_2024_H2_00093,UTR2024H200093,2024-10-02,262860689,INR,credited,ICICI/UTR2024H200093
bc_2024_H2_00094,set_2024_H2_00094,UTR2024H200094,2024-10-03,244546852,INR,credited,ICICI/UTR2024H200094
bc_2024_H2_00095,set_2024_H2_00095,UTR2024H200095,2024-10-04,316010062,INR,credited,ICICI/UTR2024H200095
bc_2024_H2_00096,set_2024_H2_00096,UTR2024H200096,2024-10-05,353817145,INR,credited,ICICI/UTR2024H200096
bc_2024_H2_00097,set_2024_H2_00097,UTR2024H200097,2024-10-06,397173009,INR,credited,ICICI/UTR2024H200097
bc_2024_H2_00098,set_2024_H2_00098,UTR2024H200098,2024-10-07,299205382,INR,credited,ICICI/UTR2024H200098
bc_2024_H2_00099,set_2024_H2_00099,UTR2024H200099,2024-10-08,221963707,INR,credited,ICICI/UTR2024H200099
bc_2024_H2_00100,set_2024_H2_00100,UTR2024H200100,2024-10-09,364261624,INR,credited,ICICI/UTR2024H200100
bc_2024_H2_00101,set_2024_H2_00101,UTR2024H200101,2024-10-10,310034727,INR,credited,ICICI/UTR2024H200101
bc_2024_H2_00102,set_2024_H2_00102,UTR2024H200102,2024-10-11,221198908,INR,credited,ICICI/UTR2024H200102
bc_2024_H2_00103,set_2024_H2_00103,UTR2024H200103,2024-10-12,333814067,INR,credited,ICICI/UTR2024H200103
bc_2024_H2_00104,set_2024_H2_00104,UTR2024H200104,2024-10-13,339484665,INR,credited,ICICI/UTR2024H200104
bc_2024_H2_00105,set_2024_H2_00105,UTR2024H200105,2024-10-14,222712729,INR,credited,ICICI/UTR2024H200105
bc_2024_H2_00106,set_2024_H2_00106,UTR2024H200106,2024-10-15,360476653,INR,credited,ICICI/UTR2024H200106
bc_2024_H2_00107,set_2024_H2_00107,UTR2024H200107,2024-10-16,229393107,INR,credited,ICICI/UTR2024H200107
bc_2024_H2_00108,set_2024_H2_00108,UTR2024H200108,2024-10-17,269720387,INR,credited,ICICI/UTR2024H200108
bc_2024_H2_00109,set_2024_H2_00109,UTR2024H200109,2024-10-18,335044393,INR,credited,ICICI/UTR2024H200109
bc_2024_H2_00110,set_2024_H2_00110,UTR2024H200110,2024-10-19,378989522,INR,credited,ICICI/UTR2024H200110
bc_2024_H2_00111,set_2024_H2_00111,UTR2024H200111,2024-10-20,337650288,INR,credited,ICICI/UTR2024H200111
bc_2024_H2_00112,set_2024_H2_00112,UTR2024H200112,2024-10-21,293836876,INR,credited,ICICI/UTR2024H200112
bc_2024_H2_00113,set_2024_H2_00113,UTR2024H200113,2024-10-22,300641899,INR,credited,ICICI/UTR2024H200113
bc_2024_H2_00114,set_2024_H2_00114,UTR2024H200114,2024-10-23,294420755,INR,credited,ICICI/UTR2024H200114
