entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,settlement_utr,payment_id,order_id,method,anomaly_type
pay_2024_H2_00032,payment,0,1481319,1481319,INR,34070,0,false,true,1719838162,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00032,order_2024_H2_00032,upi,fee_rate_increase
pay_2024_H2_00042,payment,0,1908667,1908667,INR,43899,0,false,true,1719828755,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00042,order_2024_H2_00042,card,fee_rate_increase
pay_2024_H2_00044,payment,0,227528,227528,INR,5233,0,false,true,1719847449,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00044,order_2024_H2_00044,upi,fee_rate_increase
pay_2024_H2_00076,payment,0,2700718,2700718,INR,62117,0,false,true,1719843629,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00076,order_2024_H2_00076,upi,fee_rate_increase
pay_2024_H2_00153,payment,0,485901,485901,INR,11176,0,false,true,1719868516,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00153,order_2024_H2_00153,card,fee_rate_increase
pay_2024_H2_00362,payment,0,255320,255320,INR,5872,0,false,true,1719860628,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00362,order_2024_H2_00362,card,fee_rate_increase
pay_2024_H2_00381,payment,0,184600,184600,INR,4246,0,false,true,1719836540,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00381,order_2024_H2_00381,upi,fee_rate_increase
pay_2024_H2_00387,payment,0,925692,925692,INR,21291,0,false,true,1719856864,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00387,order_2024_H2_00387,upi,fee_rate_increase
pay_2024_H2_00404,payment,0,303952,303952,INR,6991,0,false,true,1719855614,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00404,order_2024_H2_00404,upi,fee_rate_increase
pay_2024_H2_00422,payment,0,1629951,1629951,INR,37489,0,false,true,1719876867,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00422,order_2024_H2_00422,upi,fee_rate_increase
pay_2024_H2_00437,payment,0,339458,339458,INR,7808,0,false,true,1719858533,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00437,order_2024_H2_00437,card,fee_rate_increase
pay_2024_H2_00451,payment,0,1408339,1408339,INR,32392,0,false,true,1719841867,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00451,order_2024_H2_00451,card,fee_rate_increase
pay_2024_H2_00468,payment,0,4633106,4633106,INR,106561,0,false,true,1719861784,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00468,order_2024_H2_00468,upi,fee_rate_increase
pay_2024_H2_00509,payment,0,1704776,1704776,INR,39210,0,false,true,1719871026,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00509,order_2024_H2_00509,upi,fee_rate_increase
pay_2024_H2_00529,payment,0,190938,190938,INR,4392,0,false,true,1719840555,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00529,order_2024_H2_00529,upi,fee_rate_increase
pay_2024_H2_00590,payment,0,1588611,1588611,INR,36538,0,false,true,1719826639,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00590,order_2024_H2_00590,netbanking,fee_rate_increase
pay_2024_H2_00615,payment,0,4544517,4544517,INR,104524,0,false,true,1719836549,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00615,order_2024_H2_00615,upi,fee_rate_increase
pay_2024_H2_00723,payment,0,5758155,5758155,INR,132438,0,false,true,1719872182,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00723,order_2024_H2_00723,upi,fee_rate_increase
pay_2024_H2_00725,payment,0,354520,354520,INR,8154,0,false,true,1719821366,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00725,order_2024_H2_00725,upi,fee_rate_increase
pay_2024_H2_00757,payment,0,359073,359073,INR,8259,0,false,true,1719859405,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00757,order_2024_H2_00757,upi,fee_rate_increase
pay_2024_H2_00768,payment,0,1143674,1143674,INR,26305,0,false,true,1719877576,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00768,order_2024_H2_00768,card,fee_rate_increase
pay_2024_H2_00806,payment,0,480433,480433,INR,11050,0,false,true,1719822656,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00806,order_2024_H2_00806,card,fee_rate_increase
pay_2024_H2_00841,payment,0,9734287,9734287,INR,223889,0,false,true,1719855553,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00841,order_2024_H2_00841,upi,fee_rate_increase
pay_2024_H2_00865,payment,0,326467,326467,INR,7509,0,false,true,1719871054,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00865,order_2024_H2_00865,card,fee_rate_increase
pay_2024_H2_00912,payment,0,1090628,1090628,INR,25084,0,false,true,1719863405,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00912,order_2024_H2_00912,card,fee_rate_increase
pay_2024_H2_00918,payment,0,3206282,3206282,INR,73744,0,false,true,1719833980,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00918,order_2024_H2_00918,upi,fee_rate_increase
pay_2024_H2_00952,payment,0,12793166,12793166,INR,294243,0,false,true,1719819405,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00952,order_2024_H2_00952,upi,fee_rate_increase
pay_2024_H2_00955,payment,0,476234,476234,INR,10953,0,false,true,1719865358,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00955,order_2024_H2_00955,upi,fee_rate_increase
pay_2024_H2_00972,payment,0,4624029,4624029,INR,106353,0,false,true,1719854519,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00972,order_2024_H2_00972,upi,fee_rate_increase
pay_2024_H2_00976,payment,0,206058,206058,INR,4739,0,false,true,1719852674,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_00976,order_2024_H2_00976,card,fee_rate_increase
pay_2024_H2_01002,payment,0,7718036,7718036,INR,177515,0,false,true,1719830013,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_01002,order_2024_H2_01002,upi,fee_rate_increase
pay_2024_H2_01057,payment,0,236816,236816,INR,5447,0,false,true,1719832816,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_01057,order_2024_H2_01057,card,fee_rate_increase
pay_2024_H2_01130,payment,0,1623291,1623291,INR,37336,0,false,true,1719838072,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_01130,order_2024_H2_01130,card,fee_rate_increase
pay_2024_H2_01163,payment,0,1885502,1885502,INR,43367,0,false,true,1719870630,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_01163,order_2024_H2_01163,upi,fee_rate_increase
pay_2024_H2_01164,payment,0,3057675,3057675,INR,70327,0,false,true,1719821418,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_01164,order_2024_H2_01164,wallet,fee_rate_increase
pay_2024_H2_01166,payment,0,234176,234176,INR,5386,0,false,true,1719841387,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_01166,order_2024_H2_01166,card,fee_rate_increase
pay_2024_H2_01174,payment,0,169932,169932,INR,3908,0,false,true,1719851753,1719910800,set_2024_H2_00001,UTR2024H200001,pay_2024_H2_01174,order_2024_H2_01174,upi,fee_rate_increase
