id,entity,amount,status,fees,tax,utr,created_at,settlement_date,transaction_count,refund_adjustment,anomaly_type
set_2025_H2_00001,settlement,160511210,processed,2942160,0,UTR2025H200001,1751446800,2025-07-02,75,0.00,
set_2025_H2_00002,settlement,131454590,processed,2409559,0,UTR2025H200002,1751533200,2025-07-03,63,0.00,
set_2025_H2_00003,settlement,214540155,processed,3932510,0,UTR2025H200003,1751619600,2025-07-04,72,0.00,
set_2025_H2_00004,settlement,200041302,processed,3666749,0,UTR2025H200004,1751706000,2025-07-05,74,0.00,
set_2025_H2_00005,settlement,242294016,processed,4441240,0,UTR2025H200005,1751792400,2025-07-06,92,0.00,
set_2025_H2_00006,settlement,184742412,processed,3386318,0,UTR2025H200006,1751878800,2025-07-07,81,0.00,
set_2025_H2_00007,settlement,155741713,processed,2988166,0,UTR2025H200007,1751965200,2025-07-08,64,72794.00,
set_2025_H2_00008,settlement,160848775,processed,2948350,0,UTR2025H200008,1752051600,2025-07-09,66,0.00,
set_2025_H2_00009,settlement,152734780,processed,2815358,0,UTR2025H200009,1752138000,2025-07-10,79,8586.00,
set_2025_H2_00010,settlement,198857337,processed,3674909,0,UTR2025H200010,1752224400,2025-07-11,81,16293.00,
set_2025_H2_00011,settlement,247834196,processed,4544516,0,UTR2025H200011,1752310800,2025-07-12,80,943.00,
set_2025_H2_00012,settlement,217208397,processed,3991558,0,UTR2025H200012,1752397200,2025-07-13,70,5530.00,
set_2025_H2_00013,settlement,203330726,processed,3737919,0,UTR2025H200013,1752483600,2025-07-14,88,5937.00,
set_2025_H2_00014,settlement,197071222,processed,3612303,0,UTR2025H200014,1752570000,2025-07-15,76,0.00,
set_2025_H2_00015,settlement,163560670,processed,2998054,0,UTR2025H200015,1752656400,2025-07-16,65,0.00,
set_2025_H2_00016,settlement,190041959,processed,3612658,0,UTR2025H200016,1752742800,2025-07-17,72,70484.00,
set_2025_H2_00017,settlement,152075081,processed,2965522,0,UTR2025H200017,1752829200,2025-07-18,71,97105.00,
set_2025_H2_00018,settlement,169203806,processed,3101492,0,UTR2025H200018,1752915600,2025-07-19,74,0.00,
set_2025_H2_00019,settlement,197616628,processed,3622299,0,UTR2025H200019,1753002000,2025-07-20,75,0.00,
set_2025_H2_00020,settlement,239955914,processed,4531189,0,UTR2025H200020,1753088400,2025-07-21,91,72456.00,
set_2025_H2_00021,settlement,208465125,processed,3833490,0,UTR2025H200021,1753174800,2025-07-22,78,6730.00,
set_2025_H2_00022,settlement,156107152,processed,2876496,0,UTR2025H200022,1753261200,2025-07-23,58,8218.00,
set_2025_H2_00023,settlement,175690010,processed,3305831,0,UTR2025H200023,1753347600,2025-07-24,76,46617.00,
set_2025_H2_00024,settlement,235829692,processed,4322747,0,UTR2025H200024,1753434000,2025-07-25,80,0.00,
set_2025_H2_00025,settlement,182051148,processed,3388151,0,UTR2025H200025,1753520400,2025-07-26,67,27913.00,
set_2025_H2_00026,settlement,199431261,processed,3682742,0,UTR2025H200026,1753606800,2025-07-27,67,14826.00,
set_2025_H2_00027,settlement,207407503,processed,3801767,0,UTR2025H200027,1753693200,2025-07-28,83,0.00,
set_2025_H2_00028,settlement,147627686,processed,2747966,0,UTR2025H200028,1753779600,2025-07-29,70,22893.00,
set_2025_H2_00029,settlement,161433835,processed,2959072,0,UTR2025H200029,1753866000,2025-07-30,71,0.00,
set_2025_H2_00030,settlement,127486988,processed,2345142,0,UTR2025H200030,1753952400,2025-07-31,64,4535.00,
set_2025_H2_00031,settlement,133209172,processed,2542833,0,UTR2025H200031,1754038800,2025-08-01,81,55165.00,
set_2025_H2_00032,settlement,141378824,processed,2601682,0,UTR2025H200032,1754125200,2025-08-02,73,5575.00,
set_2025_H2_00033,settlement,225812208,processed,4146932,0,UTR2025H200033,1754211600,2025-08-03,83,4262.00,
set_2025_H2_00034,settlement,123157194,processed,2264959,0,UTR2025H200034,1754298000,2025-08-04,61,4089.00,
set_2025_H2_00035,settlement,225725529,processed,4180684,0,UTR2025H200035,1754384400,2025-08-05,96,23543.00,
set_2025_H2_00036,settlement,206693239,processed,3805071,0,UTR2025H200036,1754470800,2025-08-06,78,8946.00,
set_2025_H2_00037,settlement,220328162,processed,4070763,0,UTR2025H200037,1754557200,2025-08-07,87,17546.00,
set_2025_H2_00038,settlement,201550293,processed,3694405,0,UTR2025H200038,1754643600,2025-08-08,90,0.00,
set_2025_H2_00039,settlement,207396513,processed,3807758,0,UTR2025H200039,1754730000,2025-08-09,88,3378.00,
set_2025_H2_00040,settlement,173715617,processed,3184199,0,UTR2025H200040,1754816400,2025-08-10,69,0.00,
set_2025_H2_00041,settlement,176690542,processed,3241348,0,UTR2025H200041,1754902800,2025-08-11,88,1431.00,
set_2025_H2_00042,settlement,199426743,processed,3802293,0,UTR2025H200042,1754989200,2025-08-12,83,80094.00,
set_2025_H2_00043,settlement,349744650,processed,6419887,0,UTR2025H200043,1755075600,2025-08-13,119,4962.00,
set_2025_H2_00044,settlement,159394413,processed,2927203,0,UTR2025H200044,1755162000,2025-08-14,66,3009.00,
set_2025_H2_00045,settlement,156105790,processed,2878462,0,UTR2025H200045,1755248400,2025-08-15,72,9302.00,
set_2025_H2_00046,settlement,223468013,processed,4190078,0,UTR2025H200046,1755334800,2025-08-16,95,51243.00,
set_2025_H2_00047,settlement,190559585,processed,3513741,0,UTR2025H200047,1755421200,2025-08-17,78,11345.00,
set_2025_H2_00048,settlement,170289309,processed,3148202,0,UTR2025H200048,1755507600,2025-08-18,74,14625.00,
set_2025_H2_00049,settlement,140404591,processed,2573606,0,UTR2025H200049,1755594000,2025-08-19,72,0.00,
