id,entity,amount,currency,payment_id,created_at,created_date,receipt,status,speed_requested,speed_processed,acquirer_utr,anomaly_type,duplicate_of_refund_id
rfnd_2025_H2_001,refund,320000,INR,pay_2025_H2_00005,1757070000,2025-09-05,rcpt_2025_H2_rf_001,processed,normal,normal,,uncredited_refund,
rfnd_2025_H2_002,refund,118100,INR,pay_2025_H2_06210,1758141734,2025-09-17,rcpt_2025_H2_rf_002,processed,normal,normal,UTR_2025_H2_RF_002,,
rfnd_2025_H2_003,refund,585400,INR,pay_2025_H2_02982,1755290366,2025-08-15,rcpt_2025_H2_rf_003,processed,normal,normal,UTR_2025_H2_RF_003,,
rfnd_2025_H2_004,refund,162100,INR,pay_2025_H2_13763,1764420222,2025-11-29,rcpt_2025_H2_rf_004,processed,normal,normal,UTR_2025_H2_RF_004,,
rfnd_2025_H2_005,refund,2973200,INR,pay_2025_H2_03366,1756193045,2025-08-26,rcpt_2025_H2_rf_005,processed,normal,normal,UTR_2025_H2_RF_005,,
rfnd_2025_H2_006,refund,3554300,INR,pay_2025_H2_09086,1760578234,2025-10-16,rcpt_2025_H2_rf_006,processed,normal,normal,UTR_2025_H2_RF_006,,
rfnd_2025_H2_007,refund,5718700,INR,pay_2025_H2_08026,1760812195,2025-10-18,rcpt_2025_H2_rf_007,processed,normal,normal,UTR_2025_H2_RF_007,,
rfnd_2025_H2_008,refund,337800,INR,pay_2025_H2_03489,1754691712,2025-08-08,rcpt_2025_H2_rf_008,processed,normal,normal,UTR_2025_H2_RF_008,,
rfnd_2025_H2_009,refund,457000,INR,pay_2025_H2_06334,1758483716,2025-09-21,rcpt_2025_H2_rf_009,processed,normal,normal,UTR_2025_H2_RF_009,,
rfnd_2025_H2_010,refund,561600,INR,pay_2025_H2_11340,1760602517,2025-10-16,rcpt_2025_H2_rf_010,processed,normal,normal,UTR_2025_H2_RF_010,,
rfnd_2025_H2_011,refund,67000,INR,pay_2025_H2_18802,1765028109,2025-12-06,rcpt_2025_H2_rf_011,processed,normal,normal,UTR_2025_H2_RF_011,,
rfnd_2025_H2_012,refund,378700,INR,pay_2025_H2_16234,1764295309,2025-11-28,rcpt_2025_H2_rf_012,processed,normal,normal,UTR_2025_H2_RF_012,,
rfnd_2025_H2_013,refund,12189300,INR,pay_2025_H2_09219,1762179817,2025-11-03,rcpt_2025_H2_rf_013,processed,normal,normal,UTR_2025_H2_RF_013,,
rfnd_2025_H2_014,refund,313600,INR,pay_2025_H2_14479,1763106505,2025-11-14,rcpt_2025_H2_rf_014,processed,normal,normal,UTR_2025_H2_RF_014,,
rfnd_2025_H2_015,refund,1569900,INR,pay_2025_H2_11017,1761549981,2025-10-27,rcpt_2025_H2_rf_015,processed,normal,normal,UTR_2025_H2_RF_015,,
rfnd_2025_H2_016,refund,3463900,INR,pay_2025_H2_13547,1762853387,2025-11-11,rcpt_2025_H2_rf_016,processed,normal,normal,UTR_2025_H2_RF_016,,
rfnd_2025_H2_017,refund,1494400,INR,pay_2025_H2_12840,1765142294,2025-12-07,rcpt_2025_H2_rf_017,processed,normal,normal,UTR_2025_H2_RF_017,,
rfnd_2025_H2_018,refund,139600,INR,pay_2025_H2_14667,1763564870,2025-11-19,rcpt_2025_H2_rf_018,processed,normal,normal,UTR_2025_H2_RF_018,,
rfnd_2025_H2_019,refund,894600,INR,pay_2025_H2_03202,1754436136,2025-08-05,rcpt_2025_H2_rf_019,processed,normal,normal,UTR_2025_H2_RF_019,,
rfnd_2025_H2_020,refund,166200,INR,pay_2025_H2_04794,1757060689,2025-09-05,rcpt_2025_H2_rf_020,processed,normal,normal,UTR_2025_H2_RF_020,,
rfnd_2025_H2_021,refund,4823400,INR,pay_2025_H2_18618,1766731774,2025-12-26,rcpt_2025_H2_rf_021,processed,normal,normal,UTR_2025_H2_RF_021,,
rfnd_2025_H2_022,refund,255600,INR,pay_2025_H2_11915,1760102736,2025-10-10,rcpt_2025_H2_rf_022,processed,normal,normal,UTR_2025_H2_RF_022,,
rfnd_2025_H2_023,refund,553000,INR,pay_2025_H2_00612,1752342937,2025-07-12,rcpt_2025_H2_rf_023,processed,normal,normal,UTR_2025_H2_RF_023,,
rfnd_2025_H2_024,refund,86600,INR,pay_2025_H2_09687,1761105223,2025-10-22,rcpt_2025_H2_rf_024,processed,normal,normal,UTR_2025_H2_RF_024,,
rfnd_2025_H2_025,refund,10083800,INR,pay_2025_H2_10577,1761179011,2025-10-23,rcpt_2025_H2_rf_025,processed,normal,normal,UTR_2025_H2_RF_025,,
rfnd_2025_H2_026,refund,366100,INR,pay_2025_H2_10879,1762475782,2025-11-07,rcpt_2025_H2_rf_026,processed,normal,normal,UTR_2025_H2_RF_026,,
rfnd_2025_H2_027,refund,189800,INR,pay_2025_H2_18010,1767807229,2026-01-07,rcpt_2025_H2_rf_027,processed,normal,normal,UTR_2025_H2_RF_027,,
rfnd_2025_H2_028,refund,146600,INR,pay_2025_H2_04918,1757782481,2025-09-13,rcpt_2025_H2_rf_028,processed,normal,normal,UTR_2025_H2_RF_028,,
rfnd_2025_H2_029,refund,5887500,INR,pay_2025_H2_07374,1758657124,2025-09-23,rcpt_2025_H2_rf_029,processed,normal,normal,UTR_2025_H2_RF_029,,
rfnd_2025_H2_030,refund,1482600,INR,pay_2025_H2_01157,1753509408,2025-07-26,rcpt_2025_H2_rf_030,processed,normal,normal,UTR_2025_H2_RF_030,,
rfnd_2025_H2_031,refund,776700,INR,pay_2025_H2_06363,1758714259,2025-09-24,rcpt_2025_H2_rf_031,processed,normal,normal,UTR_2025_H2_RF_031,,
rfnd_2025_H2_032,refund,1011200,INR,pay_2025_H2_16784,1765142751,2025-12-07,rcpt_2025_H2_rf_032,processed,normal,normal,UTR_2025_H2_RF_032,,
rfnd_2025_H2_033,refund,200100,INR,pay_2025_H2_15242,1763894720,2025-11-23,rcpt_2025_H2_rf_033,processed,normal,normal,UTR_2025_H2_RF_033,,
rfnd_2025_H2_034,refund,1012100,INR,pay_2025_H2_13296,1765073796,2025-12-07,rcpt_2025_H2_rf_034,processed,normal,normal,UTR_2025_H2_RF_034,,
rfnd_2025_H2_035,refund,589700,INR,pay_2025_H2_15847,1764522693,2025-11-30,rcpt_2025_H2_rf_035,processed,normal,normal,UTR_2025_H2_RF_035,,
rfnd_2025_H2_036,refund,1863500,INR,pay_2025_H2_07981,1761323699,2025-10-24,rcpt_2025_H2_rf_036,processed,normal,normal,UTR_2025_H2_RF_036,,
rfnd_2025_H2_037,refund,1991500,INR,pay_2025_H2_06293,1758795932,2025-09-25,rcpt_2025_H2_rf_037,processed,normal,normal,UTR_2025_H2_RF_037,,
rfnd_2025_H2_038,refund,5213900,INR,pay_2025_H2_17835,1765671574,2025-12-14,rcpt_2025_H2_rf_038,processed,normal,normal,UTR_2025_H2_RF_038,,
rfnd_2025_H2_039,refund,773400,INR,pay_2025_H2_12767,1762891328,2025-11-11,rcpt_2025_H2_rf_039,processed,normal,normal,UTR_2025_H2_RF_039,,
rfnd_2025_H2_040,refund,1550400,INR,pay_2025_H2_04552,1754911765,2025-08-11,rcpt_2025_H2_rf_040,processed,normal,normal,UTR_2025_H2_RF_040,,
rfnd_2025_H2_041,refund,1338000,INR,pay_2025_H2_03209,1755701395,2025-08-20,rcpt_2025_H2_rf_041,processed,normal,normal,UTR_2025_H2_RF_041,,
rfnd_2025_H2_042,refund,63700,INR,pay_2025_H2_16422,1763845968,2025-11-22,rcpt_2025_H2_rf_042,processed,normal,normal,UTR_2025_H2_RF_042,,
rfnd_2025_H2_043,refund,391300,INR,pay_2025_H2_05256,1758918316,2025-09-26,rcpt_2025_H2_rf_043,processed,normal,normal,UTR_2025_H2_RF_043,,
rfnd_2025_H2_044,refund,740200,INR,pay_2025_H2_04092,1755598868,2025-08-19,rcpt_2025_H2_rf_044,processed,normal,normal,UTR_2025_H2_RF_044,,
